container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id
folder 1	Buel, David	David Buel letters	1811-1814	1811/1814	eng	19 items		Letters of courtship to Harriett Hillhouse of Montville, Conn. Subjects include health, religion, the War of 1812, and William Samuel Johnson, member of the U.S. Constitutional Convention.		Courtship -- United States; Love-letters; Hillhouse, Harriett; Johnson, William Samuel, 1727-1819; United States -- History -- War of 1812	United States		bueldavidletters-000846391	seca-4749a5c4-56fc-4898-aa74-ec48092c36f4	http://library.duke.edu/rubenstein/findingaids/bueldavidletters-000846391/	19276826	RL.30353	dpc_id
folder 1	Buffalo Bill, 1846-1917	Buffalo Bill papers	1916	1916/1916	eng	2 items		Collection consists of a letter from William Frederick Cody (Buffalo Bill) to Brother Miner concerning a visit of seventy-five "Brothers" of the National Home of Bedford, Va. to Cody. There is also an itinerary card for "Buffalo Bill (Himself) and the 101 Ranch Shows Combined."		Entertainers -- United States; Cody (Wyo.) -- History	Cody (Wyo.)		buffalobillpapers-002472275	seca-acbcfe2d-7b39-43bd-be0c-d3ae6f403eac	http://library.duke.edu/rubenstein/findingaids/buffalobillpapers-002472275/	39330843	RL.30370	dpc_id
folder 1	Buie, John	John Buie letters	1853-1864	1853/1864	eng	24 items		Letters to his father, John C. Buie, of Moore County, N.C., with detailed comments on campaigns in Mississippi and Tennessee, and on Bragg's raid into Kentucky, 1862.		Soldiers -- Correspondence; Bragg, Braxton, 1817-1876; Buie, John C.; Kentucky -- History -- Civil War, 1861-1865; Mississippi -- History -- Civil War, 1861-1865; Tennessee -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Campaigns	Kentucky; Mississippi; Tennessee; United States		buiejohnletters-000846393	seca-857e65c2-4100-4b27-bd6d-c83900a557d0	http://library.duke.edu/rubenstein/findingaids/buiejohnletters-000846393/	19276841	RL.30362	dpc_id
folder 1	Buie, Mary Ann S.	Mary Ann S. Buie letters	1842-1871	1842/1871	eng	26 items		Family letters, with comment on the prices at which slaves were sold and hired, 1849; numerous references to deaths of Confederate soldiers; and comment on Reconstruction.		Reconstruction (U.S. history, 1865-1877) -- North Carolina; Slavery -- North Carolina; Slaves -- Prices -- North Carolina; Women -- Southern States -- Correspondence			buiemaryannsletters-000890363	seca-822cfc59-76d0-4902-9245-7724dc5966cb	http://library.duke.edu/rubenstein/findingaids/buiemaryannsletters-000890363/	20649136	RL.30360	dpc_id
folder 1	Buist, Henry, active 1868-1871	Henry Buist papers	1868, 1871	1868/1871	eng	2 items		Buist's appointment, signed by Governor Robert Kingston Scott, 1869, to a Memphis commercial convention concerning trade with Europe through south Atlantic seaports and the need for a railroad from the Mississippi River to the Pacific Ocean; and a letter, 1871, to General Rush C. Hawkins from Buist concerning a lawsuit arising out of Civil War blockade running. A clipping from an unidentified source is attached to the 1871 letter. The clipping describes the circumstances of the lawsuit, mentioning the Consolidated Steamship Company, Henry Hart, and Theodore D. Jervey.		Railroads -- United States -- History -- 19th century; Buist, Henry, active 1868-1871; Hart, Henry; Hawkins, Rush C. (Rush Christopher), 1831-1920; Jervey, Theodore D. (Theodore Dehon), 1859-; Scott, Robert Kingston, 1826-1900; Consolidated Steamship Company; United States -- History -- Civil War, 1861-1865 -- Blockades; United States -- Commerce -- Europe -- Congresses	United States		buisthenrypapers-003489455	seca-6be1a6e1-df44-4a56-8eaa-e13c3b528820	http://library.duke.edu/rubenstein/findingaids/buisthenrypapers-003489455/	62256560	RL.30367	dpc_id
folder 1	Bull, William, 1710-1791	William Bull papers	1770, 1774	1770/1774	eng	2 items		Petition (1770) of James Coachman to be appointed guardian of a mulatto child, who was given her freedom by the will of Jonathan Drake. Affadavit (Charleston, S.C., 1774) naming Stephen Bull Justice of the Quorum for the Province of S.C. and William Nesbitt Deputy Secretary.		Freedmen; Racially mixed people; Slaves -- Emancipation -- United States; Slavery -- South Carolina; Lieutenant governors -- South Carolina; Bull, Stephen; Bull, William, 1710-1791; Coachman, James; Drake, Jonathan; Nesbitt, William; South Carolina -- History -- Colonial period, ca. 1600-1775	South Carolina		bullwilliampapers-002683877	seca-9472b714-035f-404e-acbb-021c66eb1d68	http://library.duke.edu/rubenstein/findingaids/bullwilliampapers-002683877/	43737901	RL.30350	dpc_id
folder 1	Bunting, Sarah W.	Sarah W. Bunting correspondence	1811-1867	1811/1867	eng	15 items		Original and photocopies of correspondence between members of the related Bunting and Heacock families of Delaware County, Pa., and Talladega County, Ala., respectively consisting primarily of letters from Dr. Joseph Davis Heacock to his niece, Sarah Bunting; one letter from Dr. Heacock to his sister, Sarah's mother; and a letter from Dr. Heacock's son, Dr. John William Heacock, conveying the news of his father's death in 1867. Joseph D. Heacock's letters contain information about family matters, crop and weather conditions, the Arctic expedition of Elisha Kent Kane (2nd Grinnell Expedition, 1853-1855), and slavery. Heacock wrote a 14-page defense of slavery in response to Sarah's inquiry of his opinion of Harriet Beecher Stowe's Uncle Tom's Cabin. Heacock, a slaveholder, expresses his fear that the issue of slavery may disrupt the Union, and admonishes the Society of Friends, of which his relatives are members, for their abolitionist activities. Other subjects mentioned include Baptist and Methodist religious revivals in Talladega County and environs, and the harvesting and ginning of cotton and the work and life-style of cotton merchants. John W. Heacock's letter of 1867 comments briefly on political and economic conditions in Reconstruction Alabama.		Cotton -- Alabama; Migration, Internal -- United States; Reconstruction (U.S. history, 1865-1877) -- Alabama; Slavery -- Justification; Antislavery movements -- United States; Society of Friends -- Political and social views; Heacock, John William; Heacock, Joseph Davis; Kane, Elisha Kent, 1820-1857; Alabama -- Social conditions; Arctic regions -- Discovery and exploration -- American; Talladega County (Ala.) -- Religious life and customs	Alabama; Arctic regions; Talladega County (Ala.)		buntingsarahw-000897860	seca-c710b635-064f-4629-83dc-1968d0e6184b	http://library.duke.edu/rubenstein/findingaids/buntingsarahw-000897860/	20839625	RL.30354	dpc_id
folder 1	Burke, Thomas, approximately 1747-1783	Thomas Burke letters	1776, 1782	1776/1782	eng	2 items		Letters from Burke, to Richard Henry Lee concerning the movement of Virginia Tories (June 1776); and probably to Edmund Pendleton, complaining of the neglect Burke has suffered at the hands of the governor of North Carolina (April 1782).		Burke, Thomas, approximately 1747-1783; Lee, Richard Henry, 1732-1794; Lee, Richard Henry, 1732-1794; Pendleton, Edmund, 1721-1803; Pendleton, Edmund, 1721-1803; North Carolina -- History -- Revolution, 1775-1783; Virginia -- History -- Revolution, 1775-1783	North Carolina; Virginia		burkethomasletters-003067418	seca-468f935c-76a6-4e59-a8c8-0365cdc5b8b5	http://library.duke.edu/rubenstein/findingaids/burkethomasletters-003067418/	49647515	RL.30351	dpc_id
folder 1	Burke, Thomas T.	Thomas T. Burke papers	1863-1917	1863/1917	eng	17 items		Personal correspondence of the Burke family of Chatham County, N.C., and the Collins and Freeman families of Ross County, Ohio. The letters contain information on smallpox in Chatham County, commodity prices in Chatham and Ross counties, and the life of a Confederate soldier at Charleston, S.C.		Epidemics -- North Carolina -- Chatham County; Smallpox -- North Carolina -- Chatham County; Burke family; Collins family; Freeman family; Confederate States of America. Army -- Military life; Charleston (S.C.) -- History -- Civil War, 1861-1865; Chatham County (N.C.) -- Economic conditions; Ross County (Ohio) -- Economic conditions	Charleston (S.C.); Chatham County (N.C.); Ross County (Ohio)		burkethomastpapers-000890375	seca-4bb5e705-4f9d-47b3-9c58-06b9e4a86fc9	http://library.duke.edu/rubenstein/findingaids/burkethomastpapers-000890375/	20649169	RL.30365	dpc_id
folder 1	Burkett, H. L.	H. L. Burkett papers and diary	1862-1872	1862/1872	eng	8 items		Diary covers 1862 and contains comments on the weather, crops, Union forces, Confederate forces, military operations near the Tennessee River, and personal affairs. Included also is a broadside, 1872, announcing that Burkett would speak on Waynesboro "fifty years ago."		Agriculture -- Tennessee -- Wayne County; Plantation owners -- Diaries; Plantations -- Tennessee -- Wayne County; Tennessee -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate; Wayne County (Tenn.) -- Climate; Waynesboro (Tenn.) -- History	Tennessee; United States; Wayne County (Tenn.); Waynesboro (Tenn.)		burketthlpapers-000890379	seca-73fcbd61-edc4-459c-8475-dc217c902a61	http://library.duke.edu/rubenstein/findingaids/burketthlpapers-000890379/	20649181	RL.30363	dpc_id
folder 1	Burkhart, Charles H.	Charles H. Burkhart letters	1845-1848	1845/1848	eng	7 items		Letters from John L. Burkhart to his brother Charles and one letter to Albert Burkhart, possibly Charles' son. Letters discuss family news and visits home to East Tennessee, John's skepticism about marriage, Presbyterianism in Maryland, Whig politics, and Henry Clay's visit to Baltimore in 1847.		Marriage; Men -- Political and social views; Presbyterian Church -- Maryland; Clay, Henry, 1777-1852; Whig Party (Md.); Maryland -- Politics and government -- 1775-1865; Maryland -- Religion	Maryland		burkhartcharleshletters-000897857	seca-7b06174d-82ac-4b58-9be4-a1b49d09d0db	http://library.duke.edu/rubenstein/findingaids/burkhartcharleshletters-000897857/	20839590	RL.30361	dpc_id
folder 1	Burnham, Anna	Anna Burnham papers	1824-1841	1824/1841	eng	61 items		Correspondence with Cyrus Byington on religious and educational efforts in the Choctaw territory, Mississippi.		Choctaw Indians; Mississippi -- History -- 19th century	Mississippi		burnhamannapapers-003896887	seca-c5243b45-6c34-4002-aec0-f2aa6a8873ce	http://library.duke.edu/rubenstein/findingaids/burnhamannapapers-003896887/	1002075708	RL.30355	dpc_id
