Project	Box	Physical Order	title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note	barcode	Identifier	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes							
Section A	26	11	Thomas Green Clemson papers	"Clemson, Thomas Green, 1807-1888"	1848-1870	1848/1870	eng	4 items	"Included are an agreement between Clemson and his overseer Reuben H. Reynolds, 1848; a financial statement, 1849; a letter of introduction, 1865, for James Edward Calhoun to Max Van den Bergh, vice-consul of the United States at Antwerp, in which Clemson stated that the emancipation of slave labor would create large scale emigration of labor supply to the South; and a letter, 1870, from Anna Maria (Calhoun) Clemson concerning her family's estate."		"Slavery -- Economic conditions -- 19th century| Women -- Confederate States of America -- History| Slaves -- Emancipation| Slave labor -- South Carolina -- 19th century| Clemson, Thomas Green, 1807-1888| Antwerp (Belgium)"	Antwerp (Belgium)		Text	clemsonthomasgreenpapers-002564981	2564981	seca-fa5bd195-05b0-4ac3-9ddb-bc448b3791e4	https://library.duke.edu/rubenstein/findingaids/clemsonthomasgreenpapers-002564981/	41109645	RL.30528	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208970T	secst0528	14	Christine Adjangba	11/8/2018	Zeutschel	secT0528	Rodrigo Araujo	12/4/2018	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	12	Cassius Marcellus Clay papers	"Clay, Cassius Marcellus, 1810-1903"	1851-1875	1851/1875	eng	5 items	"Four letters, 1851-1856, from Clay to Edmund Quincy concerning personal affairs, politics, and problems encountered by Clay for publicly stating his anti-slavery views; and a letter, 1875, to W. Scott Smith asking his support for the vice-presidential nomination of the Democratic Party."		"Antislavery movements| Slavery -- United States| Abolitionists -- United States -- 19th century| Clay, Cassius Marcellus, 1810-1903| Quincy, Edmund, 1808-1877| Smith, W. Scott. (William Scott)| Democratic Party (U.S.)| Lexington (Ky.)"	Lexington (Ky.)		Text	claycassiusmarcelluspapers-000848184	848184	seca-75d40ef4-3d6b-4092-aad5-f919f72f95f4	https://library.duke.edu/rubenstein/findingaids/claycassiusmarcelluspapers-000848184/	19347404	RL.30529	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208959-	secst0529	20	Christine Adjangba	11/8/2018	Zeutschel	secT0529	Rodrigo Araujo	12/4/2018	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	13	Jeremiah Clemens papers	"Clemens, Jeremiah, 1814-1865"	1853	1853/1853	eng	1 item	Letter of Jeremiah Clemens concerning the application of Henry Myers for a pursership in the Navy.		"Legislators -- Correspondence| Clemens, Jeremiah, 1814-1865| Myers, Henry| United States. Navy.| Huntsville (Ala.)"	Huntsville (Ala.)		Text	clemensjeremiahpapers-002564979	2564979	seca-c72fd28d-2166-4fd3-a2da-9be733c718ad	https://library.duke.edu/rubenstein/findingaids/clemensjeremiahpapers-002564979/	41109646	RL.30530	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208967Z	secst0530	4	Christine Adjangba	11/8/2018	Zeutschel	secT0530	Rodrigo Araujo	12/4/2018	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	14	Baron Hugh Charles Clifford papers	"Clifford of Chudleigh, Hugh Charles Clifford, Baron, 1790-1858"	1853-1857	1853/1857	eng	36 items	"Chiefly letters from Clifford in Albano, Italy, to his son Charles. Topics include family matters, the Catholic Church in England, English politics, and commentary on the Crimean War, in which his third son, Henry Hugh Clifford, was an officer. Also includes a few letters to Clifford, and several between other family members."	"Purchase, 1989"	"Letter writing -- 19th century| Church and state -- Great Britain| Anti-Catholicism -- England -- History -- 19th century| Fathers and sons -- Great Britain -- Biography| Crimean War, 1853-1856| Clifford, Henry Hugh| Clifford, Hugh Charles, Sir, 1866-1941, Correspondent.| Catholic Church -- Great Britain| Albano Laziale (Italy)| Great Britain -- Church history| Great Britain -- Politics and government -- 1837-1901"	Albano Laziale (Italy)| Great Britain		Text	cliffordofchudleighhughcharlescliffordpapers-001751765	1751765	seca-c475b608-ebd1-4bb3-b2f1-8cbf92e16b83	https://library.duke.edu/rubenstein/findingaids/cliffordofchudleighhughcharlescliffordpapers-001751765/	32458418	RL.30531	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03572728Y	secst0531	146	Rodrigo Araujo	12/4/2018	Zeutschel	secT0531	Joe Wang	2/1/2019	LIB-DPC01	Alex Marsh	2/4/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	15	Clayton and Erwin papers	Clayton and Erwin	1860	1860/1860	eng	2 items	"Collection consists of the firm's correspondence concerning a debt owed Alexander Craig of Richmond, Va., by Solon B. Jones."		"Practice of law -- Arkansas -- 19th century| Debt -- 19th century| Debtor and creditor -- United States -- 19th century| Craig, Alexander| Jones, Solon B.| Napoleon (Desha County, Ark.)"	"Napoleon (Desha County, Ark.)"		Text	claytonanderwinpapers-002367329	2367329	seca-9b0de5f8-8254-4c24-8100-fca78c49a638	https://library.duke.edu/rubenstein/findingaids/claytonanderwinpapers-002367329/	38000646	RL.30533	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208963V	secst0532	6	Christine Adjangba	12/6/2018	Zeutschel	secT0532	Rodrigo Araujo	12/13/2018	LIB-DPC01	Alex Marsh	2/4/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	16	W.C. Clayton papers	"Clayton, W. C."	1860-1862	1860/1862	eng	4 items	"Correspondence of W.C. Clayton while a student at Centre College, Danville, Ky.; and while in the Confederate Army stationed at Centreville and Richmond, Va.; and as a patient at a Richmond, Va., hospital, with comments on food, weather, friends, and homesickness."		"Hospitals -- Confederate States of America| Centre College (Danville, Ky. : 1918- ) -- Students| Confederate States of America. Army -- Military life| Centreville (Va.)| Danville (Ky.)| Richmond (Va.) -- History -- Civil War, 1861-1865| Virginia -- History -- Civil War, 1861-1865"	Centreville (Va.)| Danville (Ky.)| Richmond (Va.)| Virginia		Text	claytonwcpapers-000890393	890393	seca-f69387cf-56d4-4bd3-ba73-7b2dd31e9ede	https://library.duke.edu/rubenstein/findingaids/claytonwcpapers-000890393/	20649215	RL.30534	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03559405V	secst0533	14	Christine Adjangba	12/6/2018	Zeutschel	secT0533	Rodrigo Araujo	12/13/2018	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	17	Dennis Claude papers	"Claude, Dennis, approximately 1782-1863"	1860	1860/1860	eng	1 item	"The catalog contains a numbered list of about 300 books pertaining to religion, poetry, history, and philosophy."	Purchase 1984	"Private libraries -- Maryland -- Annapolis| Claude, Dennis, approximately 1782-1863 -- Library."			Text	claudedennispapers-001098657	1098657	seca-585e06dd-a75d-4bc2-bb7b-2546665f2164	https://library.duke.edu/rubenstein/findingaids/claudedennispapers-001098657/	28081403	RL.30532	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03572483W	secst0534	16	Christine Adjangba	12/6/2018	Zeutschel	secT0534	Rodrigo Araujo	12/13/2018	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	18	Jacob B. Click papers	"Click, Jacob B."	1861-1867	1861/1867	eng	30 items	"This collection includes personal letters from Confederate soldiers Jacob B. Click, Lucius C. (A.) Haney, and James F. Ward, discussing personal affairs; love; and the war. Addressees include Evaline Haney, Violey E. Haney, and M.C. Haney. Included are references to the 5th Regiment, Virginia Cavalry, and the 10th Regiment, Virginia Infantry, C.S.A.; military engagements, especially the first battle of Bull Run, the Peninsular Campaign, General Jackson's capture of the Federal garrison at Harper's Ferry, and the battles of Fredericksburg, Kelly's Ford, Gettysburg, and Chancellorsville; prisoners; camp life; sickness and scarcity of food; morale; various Confederate and Union officers; and Union Army, and Confederate Army prisoners."		"Bull Run, 1st Battle of, Va., 1861| Peninsular Campaign, 1862| Fredericksburg, Battle of, Fredericksburg, Va., 1862| Kelly's Ford, Battle of, Va., 1863| Gettysburg, Battle of, Gettysburg, Pa., 1863| Chancellorsville, Battle of, Chancellorsville, Va., 1863| Soldiers -- Confederate States of America -- Conduct of life| Soldiers -- Correspondence| Women -- Correspondence -- 19th century| Love-letters -- 19th century| Haney, Evaline| Haney, Lucius C.| Haney, M.C.| Haney, Violey E.| Ward, James F.| Confederate States of America. Army. Virginia Cavalry, 5th.| Confederate States of America. Army. Virginia Infantry Regiment, 10th.| United States. Army -- History -- Civil War, 1861-1865| Dayton (Va.) -- 19th century| United States -- History -- Civil War, 1861-1865| United States -- Military life -- 19th century| United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons| Virginia -- History -- Civil War, 1861-1865"	Dayton (Va.)| United States| Virginia		Text	clickjacobbpapers-000848190	848190	seca-ec0dc6e7-35e2-442e-ba3f-2130951df14e	https://library.duke.edu/rubenstein/findingaids/clickjacobbpapers-000848190/	19347523	RL.30535	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208972V	secst0535	96	Christine Adjangba	12/6/2018	Zeutschel	secT0535	Rodrigo Araujo	2/4/2019	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	19	Fisher A. Cleaveland papers	"Cleaveland, Fisher A., 1819-"	1862-1865	1862/1865	eng	76 items	"Chiefly letters from Fisher A. Cleaveland from East Freetown, Bristol County, Mass., to his wife and children while he was serving with the 35th Regiment Massachusetts Volunteers, Company I. The detailed letters describe work assignments, fortifications, the regiment's locations, and troop movements. Cleaveland was located at various places during the time period covered by the letters, including Washington D.C., Virginia, and Maryland, 1862-1863; Vicksburg, Miss., summer 1863; Kentucky, fall 1863; Tennessee, (1863, Nov.-1864, March); Petersburg, Va., (1864, June-1865, Feb.); and Alexandria, Va., (1865, Apr.) He was part of the forces participating in the Battle of Antietam, the Vicksburg campaign, and the siege of Petersburg. Also includes one tintype."	Purchase 1982	"Antietam, Battle of, Md., 1862| United States. Army. Massachusetts Infantry Regiment, 35th. Company I (1862-1865)| United States. Army -- Military life -- 19th century| Freetown (Mass. : Town) -- 19th century| Petersburg (Va.) -- History -- Siege, 1864-1865"	Freetown (Mass. : Town)| Petersburg (Va.)		Text	cleavelandfisherapapers-001098941	1098941	seca-fe3012bf-162a-472c-a4ab-c1c9af5afccb	https://library.duke.edu/rubenstein/findingaids/cleavelandfisherapapers-001098941/	28086747	RL.30536	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03572485Y	secst0536	328	Christine Adjangba	12/6/2018	Zeutschel	secT0536	Rodrigo Araujo	2/4/2019	LIB-DPC01	Giao Baker	2/7/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	20	George Clarke papers	"Clarke, George"	1863-1864	1863/1864	eng	2 items	"Includes correspondence from J.J. Alvord to George Clarke, a resident of Wyandotte, Wayne County, Michigan. The letters discuss 1863 elections; criticism of George Brinton McClellan; the gubernatorial and congressional elections in Michigan; and candidates Judge Edwards of Tuscola County, William A. Horward, Jacob M. Howard, and Fernando C. Beaman."		"Governors -- Michigan -- Election -- 19th century| Beaman, F. C. (Fernando C.), 1814-1882| Horward, William A.| Howard, Jacob Merritt, 1805-1871| McClellan, George B. (George Brinton), 1826-1885| United States. Congress. Senate -- 19th century| Wyandotte (Mich.)"	Wyandotte (Mich.)		Text	clarkegeorgepapers-003866021	3866021	seca-439af73d-7fea-4667-ab4d-d4691fca58c7	https://library.duke.edu/rubenstein/findingaids/clarkegeorgepapers-003866021/	1047730986	RL.30537	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208952T	secst0537	6	Christine Adjangba	12/7/2018	Zeutschel	secT0537	Joe Wang	2/1/2019	LIB-DPC01	Alex Marsh	2/4/2019	LIB-QCDPC01	Alex Marsh	3/12/2019								
Section A	26	21	Joe Cleveland papers	"Cleveland, Joe"	1864	1864/1864	eng	3 items	"Contains three letters from Joe Cleveland, a seaman in the United States Navy, to his cousin N.H. Cleveland in Long Island, N.Y. Cleveland wrote about his experiences at Ft. Williams, Washington, D.C. (1864, Mar. 29), Beaufort, N.C. (1864, Sept. 14), and on board the U.S. Steamer Gov. Buckingham."	Gift 1986	"Sailors -- Correspondence -- 19th century| Cleveland, N.H., Addressee.| Fort Williams (Va.) -- 19th century| Governor Buckingham (U.S. Steamer)| USS Governor Buckingham (Ship)| United States. Navy -- History -- Civil War, 1861-1865| Beaufort (N.C.) -- History| Fort Williams (Washington, D.C.)| Long Island (N.Y.)| United States -- Military life -- History -- 19th century| United States -- History -- Civil War, 1861-1865 -- Naval operations"	"Beaufort (N.C.)| Fort Williams (Washington, D.C.)| Long Island (N.Y.)| United States"		Text	clevelandjoepapers-001098619	1098619	seca-ad39aa8f-ab3b-4a9f-b9d9-bd7147bdec19	https://library.duke.edu/rubenstein/findingaids/clevelandjoepapers-001098619/	28081363	RL.30539	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03572486Z	secst0538	14	Christine Adjangba	12/7/2018	Zeutschel	secT0538	Joe Wang	2/1/2019	LIB-DPC01	Alex Marsh	2/4/2019	LIB-QCDPC01	Alex Marsh	3/13/2019								
Section A	26	22	James J. Cleer papers	"Cleer, James J."	1864-1865	1864/1865	eng	2 items	"Correspondence from a Union sailor on the U.S. Steamer Maratanza near Wilmington, N.C., to his parents. The sailor writes about an unsuccessful attack on Fort Fisher on Christmas Eve; and about a successful attack on Fort Fisher and describes the victory as ""the greatest victory that has been gained since the war."""		"USS Maratanza (Ship)| Fort Fisher (N.C.) -- History| United States -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865 -- Naval operations| Wilmington (N.C.) -- 19th century"	Fort Fisher (N.C.)| United States| Wilmington (N.C.)		Text	cleerjamesjpapers-003866018	3866018	seca-7026b25a-b09a-45c6-9115-eb46d5c2f800	https://library.duke.edu/rubenstein/findingaids/cleerjamesjpapers-003866018/	1047998697	RL.30538	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208965X	secst0539	8	Christine Adjangba	12/7/2018	Zeutschel	secT0539	Joe Wang	2/8/2019	LIB-DPC01	Giao Baker	2/8/2019	LIB-QCDPC01	Alex Marsh	3/13/2019								
Section A	26	23	William F. Clegg papers	"Clegg, William F., 1827-1875"	1871-1872	1871/1872	eng	1 volume	"Collection consists of a class book for the Trent and Deep River church circuits of the Methodist Episcopal Church, South, served by Rev. Clegg. The circuits included Chatham, Moore, and Carteret Counties."		"Clergy -- North Carolina -- History -- 19th century| Church records and registers -- North Carolina| Methodist Episcopal Church, South -- History| Methodist Episcopal Church, South -- North Carolina| Methodist Episcopal Church, South -- North Carolina -- Clergy| Methodist Episcopal Church, South. Trent Circuit| Methodist Episcopal Church, South. Deep River Circuit| Carteret County (N.C.) -- Church history -- 19th century| Chatham County (N.C.) -- 19th century| Chatham County (N.C.) -- Church history -- 19th century| Moore County (N.C.) -- Church history -- 19th century| North Carolina -- Religious life and customs"	Carteret County (N.C.)| Chatham County (N.C.)| Moore County (N.C.)| North Carolina		Text	cleggwilliamfpapers-002367331	2367331	seca-dd1c14a0-30a1-4a98-bce1-4794b05c18c4	https://library.duke.edu/rubenstein/findingaids/cleggwilliamfpapers-002367331/	38000758	RL.30540	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03208966Y	secst0540	42	Christine Adjangba	12/7/2018	Zeutschel	secT0540	Joe Wang	2/8/2019	LIB-DPC01	Giao Baker	2/8/2019	LIB-QCDPC01	Alex Marsh	3/13/2019								
