Physical_order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	Barcode	DPC_ID	Count	Capture_Person	Capture_Date	Capture_Device	Capture_Target	QC1_Person	QC1_Date	QC1_Station	QC2_Person	QC2_Date	QC2_Station	Finalize_Person	Finalize_Date	Notes
11	folder 1	"Alexander, Edward Porter, 1835-1910"	Edward Porter Alexander papers	1863-1905	1863/1905	eng	4		"Letter inquiring about Confederate losses in Virginia; list of the artillery of the Army of Northern Virginia; letter declining to attend a reunion of Confederate veterans, 1905."		"Veterans -- Confederate States of America; Confederate States of America. Army of Northern Virginia. Artillery; United States -- History -- Civil War, 1861-1865 -- Casualties"	United States		alexanderedwardporterpapers-001585364	seca-5a301976-eef8-4856-97a4-69b8d336cc80	http://library.duke.edu/rubenstein/findingaids/alexanderedwardporterpapers-001585364/	31187654	RL.30032	D03027533N	secst0028	12	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/20/2017	LIB-DPC02				Mike Adamo	3/20/2017	
12	folder 1	Alexander family	Alexander family deeds	1778-1810	1778/1810	eng	7		Land deeds.		Deeds -- North Carolina; Burke County (N.C.) -- History -- 19th century; Burke County (N.C.) -- History -- 18th century; Lincoln County (N.C.) -- History -- 19th century; Lincoln County (N.C.) -- History -- 18th century	Burke County (N.C.); Lincoln County (N.C.)		alexanderfamily-001585344	seca-40b10837-7c7b-4933-9b59-811f6d92df06	http://library.duke.edu/rubenstein/findingaids/alexanderfamily-001585344/	31187624	RL.30018	D03027535P	secst0029	4	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/20/2017	LIB-DPC02				Mike Adamo	3/20/2017	
13	folder 1	Alexander family	Alexander family papers	1795-1870	1795/1870	eng	36		"Mostly legal documents signed by Robert, John, John D., and William K. Alexander as clerks of the Campbell County, Virginia, Superior Court. Subjects include land claims, deeds, the settlement of estates, and other legal affairs, and bills and receipts for court costs."		"Legal documents -- Virginia; Court records -- Virginia; Alexander, John D.; Alexander, John; Alexander, Robert; Alexander, William K.; Virginia. Superior Court (Campbell County); Campbell County (Va.) -- History -- 19th century"	Campbell County (Va.)		alexanderfamilypapers-001585358	seca-8fe438e5-d25c-4399-986d-3bea15864fc7	http://library.duke.edu/rubenstein/findingaids/alexanderfamilypapers-001585358/	31187644	RL.30019	D03027536Q	secst0030	40	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/20/2017	LIB-DPC02				Mike Adamo	3/20/2017	
14	folder 1	"Alger, William Rounseville, 1822-1905"	William Rounseville Alger note	1847	1847/1847	eng	1		Note by Alger to a Mr. Winsor.		"Clergy -- Massachusetts -- Correspondence; Authors, American -- Massachusetts"			algerwilliamrounseville-001585357	seca-65d5f4ab-6f83-475d-8ca8-e2a544dabe4c	http://library.duke.edu/rubenstein/findingaids/algerwilliamrounseville-001585357/	31187642	RL.30024	D03027537R	secst0031	4	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/20/2017	LIB-DPC02				Mike Adamo	3/20/2017	
15	folder 1	"Allen, David B."	David B. Allen papers	1844-1847	1844/1847	eng	2		A legal document concerning a court judgment against Allen and others (1844) and a letter concerning legal and financial affairs (1847).		Legal documents -- North Carolina			allendavidbpapers-001585361	seca-9e77bd05-13b7-4442-9939-5fdd4b324593	http://library.duke.edu/rubenstein/findingaids/allendavidbpapers-001585361/	31187647	RL.30022	D03027538S	secst0032	4	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/20/2017	LIB-DPC02				Mike Adamo	3/20/2017	
16	folder 1	"Allen, Dwight"	Dwight Allen papers	1863	1863/1863	epo	2		"Letters discussing camp life, discipline, casualties, Confederate and Union generals, and statements by Confederate deserters concerning low morale in the Army of Tennessee."		"Confederate States of America. Army -- Officers; Confederate States of America. Army. Tennessee Brigade; United States. Army -- Officers; United States -- History -- Civil War, 1861-1865"	United States		allendwightpapers-000842360	seca-c394b4b2-e3ea-431d-b461-d0e22c06f5f6	http://library.duke.edu/rubenstein/findingaids/allendwightpapers-000842360/	19105384	RL.30033	D03027471O	secst0033	6	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/20/2017	LIB-DPC02				Mike Adamo	3/20/2017	
17	folder 1	"Allen, James Lane, 1849-1925"	James Lane Allen papers	1889-1911	1889/1911	eng	56		"Ten letters and a telegram from Allen to Joseph Marshall Stoddard, editor of Lippincott's Magazine, concerning Allen's Kentucky writings and their publication; a letter from Allen to Charles Burr Todd regarding a proposed Society of American Authors; clippings concerning Allen, printed copies of some of his writings, and articles on the country about which he wrote; and letters, chiefly 1888-1889, to Richard Watson Gilder and Robert Underwood Johnson, editors of The Century, about Allen's writings for that magazine. Topics include Allen's plans to collect his articles in book form, 1888; an outline for a historical novel of Kentucky life, 1889; plans for lectures on the literature of the New South, 1890; and the effect on Allen's work of his poor eyesight, caused by typhoid fever, 1889."	Received 1949	"Authors -- Correspondence; Johnson, Robert Underwood, 1853-1937; Stoddart, J. M. (Joseph Marshall), 1845-1921; Todd, Charles Burr, 1849-; Watson, Richard; Kentucky -- Literature"	Kentucky		allenjameslanepapers-000842408	seca-e7e713cb-c294-44dc-905e-e7f0c70bc033	http://library.duke.edu/rubenstein/findingaids/allenjameslanepapers-000842408/	19106142	RL.30038	D03027472P	secst0034	273	Charles Lu	2/6/2017	Zeutschel	secT004	Alta Zhang	2/20/2017	LIB-DPC02				Mike Adamo	3/20/2017	
18	folder 1	"Allen, John"	John Allen papers	1814-1881	1814/1881	eng	24		"Business and personal correspondence, including letters from Chapman Johnson and Richard L.T. Beale concerning land purchases and the settlement of a court case. One letter from sister Polly Allen Caldwell describes winter in New Orleans, 1837, and Revolutionary War pension claims. A letter of 1845 describes Memphis, Tenn."		"Beale, Richard L. T. (Richard Lee Tuberville), 1819-1893; Caldwell, Polly Allen; Johnson, Chapman; Memphis (Tenn.) -- Description and travel; New Orleans (La.) -- Description and travel; United States -- History -- Revolution, 1775-1783 -- Pay, allowances, etc"	Memphis (Tenn.); New Orleans (La.); United States		allenjohnpapers-000842364	seca-4dc68ba4-d9aa-41c7-a8be-e0d2c4be1f91	http://library.duke.edu/rubenstein/findingaids/allenjohnpapers-000842364/	19105428	RL.30020	D03027473Q	secst0035	87	Mike Adamo	2/17/2017	Zeutschel	secT006	Mike Adamo	2/20/2017	LIB-DPC06				Mike Adamo	3/20/2017	
19	folder 1	"Allen, John"	John Allen papers	1864-1885	1864/1885	eng	39		"Personal and business letters relating chiefly to the Civil War, teaching, college life, and financial hardships during Reconstruction. Included also are a report card of James Parker, of the Oxford (N.C.) High School, giving a description of the courses offered; and four letters from relatives and friends in Texas and Missouri."		"Education -- Southern States -- History; Reconstruction (U.S. history, 1865-1877) -- North Carolina; Parker, James; Oxford High School (Oxford, N.C.); United States -- History -- Civil War, 1861-1865"	United States		allenjohnpapers-000842365	seca-144f7d1d-8262-40e8-8cdc-2fc5c75d87d5	http://library.duke.edu/rubenstein/findingaids/allenjohnpapers-000842365/	19105446	RL.30034	D03027475S	secst0036	124	Mike Adamo	2/17/2017	Zeutschel	secT006	Mike Adamo	2/20/2017	LIB-DPC06				Mike Adamo	3/20/2017	
20	folder 1	"Allen, John"	John Allen Account book	1853-1884	1853/1884	eng	1		"Account book, 1853-1884, including copies of letters by Allen, early 1880s, and miscellaneous notes, among them militia records, 1860-1861."		"Business records -- North Carolina; North Carolina -- History -- Civil War, 1861-1865; North Carolina -- Militia -- Records and correspondence"	North Carolina		allenjohn-001586473	seca-f2950b45-636e-4d74-900a-765b1b0d7bcc	http://library.duke.edu/rubenstein/findingaids/allenjohn-001586473/	31215116	RL.30026	D03027479W	secst0037	164	Mike Adamo	2/17/2017	Phase One	secT005	Mike Adamo	2/20/2017	LIB-DPC06				Mike Adamo	3/20/2017	
21	folder 1	"Allen, Oscar H."	Oscar H. Allen papers	1898-1899	1898/1899	eng	3		"Letters written while stationed at Jacksonville, Fla., and Havana, Cuba, to Florence Lytle of Jacksonville. Comments on army life and on the death of a friend, Jonas H. Lien, 1st South Dakota Infantry, who was killed in the Philippines."		"Soldiers -- Conduct of life; Spanish-American War, 1898; Lien, Jonas H.; Lytle, Florence; United States. Army. Nebraska Infantry Regiment, 3rd.; United States. Army. South Dakota Infantry Regiment, 1st.; Havana (Cuba) -- Description and travel; Jacksonville (Fla.) -- Description and travel"	Havana (Cuba); Jacksonville (Fla.)		allenoscarhpapers-000842502	seca-4005ad03-4990-484a-9b0b-a95d35664a05	http://library.duke.edu/rubenstein/findingaids/allenoscarhpapers-000842502/	19108693	RL.30039	D03027474R	secst0038	6	Mike Adamo	2/17/2017	Phase One	secT006	Mike Adamo	2/20/2017	LIB-DPC06				Mike Adamo	3/20/2017	
22	folder 1	"Allen, R. Alfred"	R. Alfred Allen diary	1864-1866	1864/1866	eng	1		"Diary of Allen's service as a hospital steward with the 22nd New York Cavalry, 1864-1865, with brief entries describing the battle of the Wilderness, Jubal Early's Valley campaign, and the siege of Petersburg. Also contains personal financial accounts and weekly reports on the regimental sick, and a reference to Allen's postwar return to Ohio."		"Petersburg Crater, Battle of, Va., 1864; Shenandoah Valley Campaign, 1864 (May-August); Wilderness, Battle of the, Va., 1864; United States. Army. New York Cavalry, 2nd (1861-1865); United States -- History -- Civil War, 1861-1865 -- Campaigns; United States -- History -- Civil War, 1861-1865 -- Medical care"	United States		allenralfred-000842322	seca-0d52a28b-69f7-4a43-9d1f-001291e78a7f	http://library.duke.edu/rubenstein/findingaids/allenralfred-000842322/	19104901	RL.30035	D03027478V	secst0039	122	Mike Adamo	2/17/2017	Phase One	secT005	Mike Adamo	2/20/2017	LIB-DPC06				Mike Adamo	3/20/2017	
