physical order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	Finalize Person	Finalize Date	Notes	
14	folder 1	"Blair, Cynthia"	Cynthia Blair papers	1852-1892	1852/1892	eng	79 items		"Correspondence of Cynthia and Mildred Blair, two young girls, with relatives and friends in Randolph County, N.C., and surrounding area. Contains references to social life and religion in the ante-bellum period. A few letters during the spring of 1861 show the anticipation of the outbreak of Civil War hostilities."		"Teenage girls -- North Carolina -- Correspondence; North Carolina -- Social life and customs; Randolph County (N.C.) -- Social life and customs; Southern States -- Social life and customs -- 1775-1865; Southern States -- Religious life and customs; United States -- History -- Civil War, 1861-1865"	North Carolina; Randolph County (N.C.); Southern States; United States		blaircynthiapapers-000844135	seca-d9ed7e90-e450-45b9-8015-dd93b325151e	http://library.duke.edu/rubenstein/findingaids/blaircynthiapapers-000844135/	19212105	RL.30236	secst0239	D02483769$	242	Alta Zhang	08/18/17	Zeutschel	secT0189	Alex Marsh	8/23/2017	DPC-M03	Alex Marsh	8/28/2017		
15	folder 1	"Blair, W. A."	W. A. Blair papers	1835-1842	1835/1842	eng	10 items		"Personal letters concerning W. A. Blair's changes of fortune as he moved from Portsmouth, Virginia, to Peoria and thence to St. Louis, Missouri."		"Blair, W. A.; Peoria (Ill.) -- History -- 19th century; Saint Louis (Mo.) -- History -- 19th century"	Peoria (Ill.); Saint Louis (Mo.)		blairwapapers-002569410	seca-74e2f24c-8c4a-4375-8360-b63739e84e0c	http://library.duke.edu/rubenstein/findingaids/blairwapapers-002569410/	41239198	RL.30228	secst0240	D02483767.	40	Alta Zhang	08/18/17	Zeutschel	secT0190	Alex Marsh	8/23/2017	DPC-M03	Alex Marsh	8/28/2017		
16	folder 1	"Blakemore, N. L."	N. L. Blakemore letters	1849-1869	1849/1869	eng	4 items		"Letters of N.L. Blakemore, connected with the Shenandoah Iron Works, concerning business conditions and prices."		"Iron industry and trade -- Virginia; Shenandoah Iron Works (Page County, Va.)"			blakemorenlletters-002050951	seca-366f754e-9b19-4fbf-bf5b-f0e0543d7637	http://library.duke.edu/rubenstein/findingaids/blakemorenlletters-002050951/	34122384	RL.30234	secst0241	D03571655W	10	Alta Zhang	08/18/17	Zeutschel	secT0191	Alex Marsh	8/23/2017	DPC-M03	Alex Marsh	8/28/2017		
17	folder 1	"Blalock, Austin"	Austin Blalock letters	1863-1864	1863/1864	eng	3 items		"Letters of a private in the 35th North Carolina Regiment describing camp life near Richmond, Va., and in Martin County, N.C."		"Soldiers -- Confederate States of America -- Correspondence; Confederate States of America. Army -- Military life; Confederate States of America. Army. North Carolina Infantry Regiment, 35th.; Martin County (N.C.) -- History -- Civil War, 1861-1865; Richmond (Va.) -- History -- Civil War, 1861-1865"	Martin County (N.C.); Richmond (Va.)		blalockaustinletters-000887866	seca-673afa5e-48a9-4d03-8758-6b6e3e696248	http://library.duke.edu/rubenstein/findingaids/blalockaustinletters-000887866/	20574512	RL.30241	secst0242	D02483768	8	Alta Zhang	08/18/17	Zeutschel	secT0192	Alex Marsh	8/23/2017	DPC-M03	Alex Marsh	8/28/2017		
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
