physical_order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	Finalize Person	Finalize Date	Dark Storage	Ingest	Notes
11	folder 1	"Bamberger, Ira Leo"	Ira Leo Bamberger letters	1884	1884/1884	eng	3 items		Letters from George Becker and C.M. Evarts to Bamberger concerning legal cases.		"Lawyers -- 19th century; Legal correspondence; Becker, George; Evarts, C. M."			bambergeriraleoletters-001616528	seca-0c836de6-dea0-4c4e-8e0b-72df7ce4c5a2	http://library.duke.edu/rubenstein/findingaids/bambergeriraleoletters-001616528/	31421776	RL.30145	secst0133	D02483715U	6	Alta Zhang	06/09/17	Zeutschel	secT0083	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
12	folder 1	"Bancroft, George, 1800-1891"	George Bancroft letters	1845-1885	1845/1885	eng	22 items		"Fifteen letters (transcripts) to David L. Swain, president of the University of North Carolina, relating to the history of the state. Topics include the Regulators, Loyalists, Mecklenburg Declaration, Governors William Tryon and Alexander Martin, and Hermon Husbands and Edmund Fanning. Original items include a letter to C.C. Jones on the employment of women and children in Germany and a note, 1885, of thanks for Jones's article on Richard H. Wilde; a letter from H.C. Van Schaack regarding the publication of his pamphlet on Henry Cruger; and notes relating to appointments by Bancroft as Secretary of the Navy, and to payment from publishers."		"American loyalists; Cruger, Henry, 1739-1827; Fanning, Edmund, 1739-1818; Husbands, Hermon, 1724-1795; Jones, Charles C. (Charles Colcock), 1831-1893; Martin, Alexander, 1740-1807; Swain, David L. (David Lowry), 1801-1868; Tryon, William, 1729-1788; Van Schaack, Henry Cruger, 1802-1887; Wilde, Richard Henry, 1789-1847; Mecklenburg County (N.C.); United States. Navy -- Appointments and retirements; University of North Carolina at Chapel Hill -- Presidents; North Carolina -- History -- Revolution, 1775-1783; North Carolina -- History -- Regulator Insurrection, 1766-1771"	North Carolina		bancroftgeorgeletters-001616530	seca-845c74f2-9867-491f-9938-3c1431e4a640	http://library.duke.edu/rubenstein/findingaids/bancroftgeorgeletters-001616530/	31427864	RL.30133	secst0134	D02483714T	20	Alta Zhang	06/09/17	Zeutschel	secT0084	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
13	folder 1	"Bancroft, Hettie"	Hettie Bancroft diary	1866 Feb. 17-1867 Apr. 21	1866/1867	eng	1 volume		"Entries primarily relate to Bancroft's daily chores and activities, including those of a religious nature. Provides a detailed account of her sister Carrie's death. The family lived in Vermont during the period covered by the diary; by April 1866 they had moved to Bristol, Vt. Also includes a note on the diary by her father, George C. Bancroft, a minister."	Purchase 1992	"Women -- Vermont -- Social conditions; Women -- Religious life -- Vermont; Women -- Diaries; Death; Bancroft, George C."		Diaries	bancrofthettie-001098930	seca-2bdfae97-643c-4bbd-b892-adf7c796986b	http://library.duke.edu/rubenstein/findingaids/bancrofthettie-001098930/	28086728	RL.30141	secst0135	D03572476Y	36	Alex Marsh	08/10/17	Phase One	secT0085	Alex Marsh	8/23/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
14		Bank of Cape Fear photos																															
15	folder 1	"Banks, John"	John Banks letter	1784	1784/1784	eng	1 item		"Letter from Henry Bromfield, Jr., of London to Banks commenting on the heavy demands from America for British goods."		"Bromfield, Henry, Jr; Great Britain -- Commerce -- United States; United States -- Commerce -- Great Britain"	Great Britain; United States		banksjohn-001616534	seca-42ce95ab-0160-416f-9f41-e1b2c73601f5	http://library.duke.edu/rubenstein/findingaids/banksjohn-001616534/	31427851	RL.30125	secst0136	D03209149S	4	Alta Zhang	06/09/17	Zeutschel	secT0086	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
16	folder 1	"Banks, Nathaniel Prentiss, 1816-1894"	Nathaniel P. Banks letters	1862-1863	1862/1863	eng	3 items		"Partial letters (20 pages total) from Nathaniel Prentiss Banks in New Orleans to ""Anne."" Also included is part of a report to Major General Halleck on ""La Bataille des Mouchoirs."""		"Banks, Nathaniel Prentiss, 1816-1894; United States. Army. Department of the Gulf (1862-1865); United States -- History -- Civil War, 1861-1865"	United States		banksnathanielprentissletters-003953865	seca-c5abb0f2-c83b-4a1b-b1c8-3039ac7e85e8	http://library.duke.edu/rubenstein/findingaids/banksnathanielprentissletters-003953865/	794227650	RL.30139	secst0137	D03571452R	22	Alta Zhang	06/09/17	Zeutschel	secT0087	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
17	folder 1	"Banner, Joseph"	Joseph Banner letters	1832-1843	1832/1843	eng	4 items		"Letters concerning the postal service. Included is one letter from Augustine H. Shepard, a member of Congress from North Carolina."		"Postal service -- North Carolina -- Stokes County; Postal service -- United States -- History; Shepard, Augustine H."			bannerjosephletters-001616535	seca-b28d2393-e13a-4eec-afe7-4414ddc7b027	http://library.duke.edu/rubenstein/findingaids/bannerjosephletters-001616535/	31421734	RL.30131	secst0138	D02483717W	10	Alta Zhang	06/09/17	Zeutschel	secT0088	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
18	folder 1	"Barbé-Marbois, François, marquis de, 1745-1837"	François Barbé-Marbois letter	1786 June 29	1786/1786	fre	1 item		"Letter, intended recipient unknown but possibly the Chevalier de Brun, written from Port-au-Prince, Saint Domingue, where Barbé-Marbois served as intendant for the French government. Concerns contraband and commercial relations between the French West Indies and the United States."		"Smuggling -- West Indies, French; Haiti -- History -- To 1791; Haiti -- History; Port-au-Prince (Haiti) -- History; West Indies, French -- Commerce -- United States"	"Haiti; Port-au-Prince (Haiti); West Indies, French"		barbemarboisfrancois-000844041	seca-000b1436-b419-42d1-a7e6-d9f328257e94	http://library.duke.edu/rubenstein/findingaids/barbemarboisfrancois-000844041/	19210588	RL.30126	secst0139	D02483719Y	4	Alta Zhang	06/09/17	Zeutschel	secT0089	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
19	folder 1	"Barbour, James, 1775-1842"	James Barbour papers	1812-1855	1812/1855	eng	9 items		"Papers containing references to Indian affairs, the Richmond fire of 1811, a proposed canal between the Potomac and Rappahannock rivers, and pension payments."		"Indians of North America -- Government relations -- 1789-1869; Canals -- Virginia; Governors -- Virginia; Military pensions; Richmond (Va.) -- Fire, 1811"	Richmond (Va.)		barbourjamespapers-000844136	seca-6823570c-663b-4a03-87e8-b03d7af993e5	http://library.duke.edu/rubenstein/findingaids/barbourjamespapers-000844136/	19212112	RL.30128	secst0140	D02483720Q	24	Alta Zhang	06/09/17	Zeutschel	secT0090	Alex Marsh	6/26/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
20	folder 1	"Barclay, Samuel M."	Samuel M. Barclay papers	1824-1851	1824/1851	eng	44 items		"Chiefly papers of the Bedford, Pa. law firm of Murdock and Barclay, with several references to Pennsylvania and national politics."		Lawyers -- Pennsylvania -- Correspondence; Lawyers -- Pennsylvania -- Bedford; Lawyers -- Political activity -- Pennsylvania; Legislators -- Pennsylvania; Murdock and Barclay (law firm); Pennsylvania -- Politics and government -- 1775-1865	Pennsylvania		barclaysamuelmpapers-001616538	seca-795127eb-6bc7-4803-a79f-55687a0259e9	http://library.duke.edu/rubenstein/findingaids/barclaysamuelmpapers-001616538/	31421801	RL.30130	secst0141	D02483721R	142	Alta Zhang	06/09/17	Zeutschel	secT0091	Alex Marsh	6/27/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
21	folder 1	"Barker, John E."	John E. Barker letters	1852-1873	1852/1873	eng	5 items		Personal letters relating to John Barker and his family.		Cincinnati (Ohio) -- History -- 19th century; Cincinnati (Ohio) -- Social life and customs	Cincinnati (Ohio)		barkerjohneletters-001616539	seca-0b364316-f8bc-403c-842e-98714991d2ef	http://library.duke.edu/rubenstein/findingaids/barkerjohneletters-001616539/	31421748	RL.30136	secst0142	D02483722S	18	Alta Zhang	06/09/17	Zeutschel	secT0092	Alex Marsh	6/27/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
22	folder 1	"Barker, Samuel"	Samuel Barker papers	1848-1876	1848/1876	eng	23 items		"Family correspondence between Quaker settlers in Indiana and relatives in Randolph County, N.C., describing crops, opportunities in the West, commodity prices, and personal matters. Some items mention the Woody family which moved from Guilford County, N.C., to Boone County, Ind. Also included are papers relating to the James Sluder family of Ashe County, N.C., and La Grange, Randolph County. Among the writers is Levi Cox of Randolph County."		"Frontier and pioneer life -- Indiana; Migration, Internal -- United States; Quakers -- North Carolina; Quakers -- Indiana; Cox, Levi; Sluder, James; Barker family; Woody family; Boone County (Ind.) -- History; Guilford County (N.C.) -- History; Indiana -- Description and travel; Randolph County (N.C.) -- History"	Boone County (Ind.); Guilford County (N.C.); Indiana; Randolph County (N.C.)		barkersamuelpapers-000844047	seca-7187bdf8-b5aa-458b-bd7a-626c87431993	http://library.duke.edu/rubenstein/findingaids/barkersamuelpapers-000844047/	19210713	RL.30134	secst0143	D02483723T	68	Alta Zhang	06/09/17	Zeutschel	secT0093	Alex Marsh	6/27/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
23	folder 1	"Barker, Simeon"	Simeon Barker letters	1882-1883	1882/1883	eng	9 items		"Personal and business letters. Topics include the illness of Barker's wife; New Garden Academy, New Garden, N.C.; and a publication of the Society of Friends."		"Women -- Health and hygiene -- North Carolina; Society of Friends; New Garden Academy (Greensboro, N.C.)"			barkersimeonletters-001616540	seca-37f2a177-4e03-4f3b-882f-b6f3aaf9db22	http://library.duke.edu/rubenstein/findingaids/barkersimeonletters-001616540/	31421772	RL.30144	secst0144	D02483724U	20	Alta Zhang	06/09/17	Zeutschel	secT0094	Alex Marsh	6/27/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
24	folder 1	Barksdale-Hannah family	Barksdale-Hannah family papers	1811-1870	1811/1870	eng	31 items		"The collection consists of letters of the children of Grief Barksdale (1774-1850), merchant and planter of Rough Creek, Charlotte County, Virginia, including Charlotte (1813-1886), Claiborne (1820-1883), Nancy (1829-1904), and Susan (1832- 1863). One letter form an unnamed correspondent includes a statement from C. R. Barksdale to Joseph B. Friend concerning the sale of tobacco for Friend, which was negotiated by C. R. Barksdale and Co. Additional materials include business and personal correspondence of Charlotte's husband, Samuel Hannah (1796-1859), of Charleston, Kanawha County; Charlotte County; and Lynchburg. Topics include business conditions and interests, especially relating to tobacco and cotton; slave hiring in Richmond, 1827; schooling of the Barksdale children; and conditions in Arkansas, 1870. Two letters from Hannah's agent in Liverpool, England, 1828-1829, concern British import duties."		"Agricultural prices -- Virginia; Cotton trade -- Virginia -- Richmond; Slave trade -- Virginia; Tobacco industry -- Virginia -- Richmond; Barksdale, Grief, 1774-1850; Hannah, Samuel, 1796-1859; Barksdale-Hannah family; Hanna family; Charlotte County (Va.) -- Economic conditions; Virginia -- Commerce -- History -- 19th century"	Charlotte County (Va.); Virginia		barksdalehannahfamilypapers-002569374	seca-b52f155c-ff6e-47a3-8c3d-09945f6d8240	http://library.duke.edu/rubenstein/findingaids/barksdalehannahfamilypapers-002569374/	41230377	RL.30127	secst0145	D02483725V	100	Alta Zhang	06/09/17	Zeutschel	secT0095	Alex Marsh	7/5/2017	LIB-DPCM03	Alex Marsh	8/24/2017			
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
