physical order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes
11	folder 1	"Bradshaw, Jonas A."	Jonas A. Bradshaw papers	1855-1864	1855/1864	eng	60 items		"Family correspondence of Bradshaw, 1st sergeant, Co. G., 38th N.C. Infantry, largely addressed to his wife Nancy and his parents. Letters discuss his participation in the defense of Richmond, 1862, and in the Battle of Gettysburg. The collection touches upon campaigns, camp life, and war weariness, but is limited mainly to reports on his health and his desire to be at home."		"Soldiers -- Confederate States of America -- Correspondence; Bradshaw, Nancy,correspondent.; Confederate States of America. Army -- Military life; United States -- History -- Civil War, 1861-1865"	United States		bradshawjonasapapers-000887884	seca-da0ea675-7ef0-4efb-9070-26b9b96deb2e	http://library.duke.edu/rubenstein/findingaids/bradshawjonasapapers-000887884/	20574654	RL.30297	secst0297	D03208727T	170	Alta Zhang	10/11/2017	Zeutschel	secT0247	Alta Zhang	11/6/2017	LIB-DPC02	Alex Marsh	1/16/2018	LIB-DPCM01	Alex Marsh	1/23/2018	
12	folder 1	"Brady, James"	James Brady papers	1850-1865	1850/1865	eng	6 items		"Papers of James Brady. In 1850 James Brady was acting as executor for the estate of John A. Craven. Papers reference a public sale of the property on 1850 Aug. 30. The remaining items in the collection relate to Brady's Civil War service; topics include a furlough in March 1863; taxes of $36 in 1836; the military service of his brother, William W. Brady, a private in Co. H., 3rd Reg. of N.C. troops who died in 1864; and Brady's being judged unfit for military service in early 1865."		"Executors and administrators -- North Carolina; Craven, John A.; Confederate States of America -- Correspondence; Confederate States of America -- Soldiers -- Correspondence"	Confederate States of America		bradyjamespapers-002050914	seca-1d8b96f5-b8c8-410f-8e01-717875c3e6a3	http://library.duke.edu/rubenstein/findingaids/bradyjamespapers-002050914/	34122448	RL.30295	secst0298	D03208728U	12	Alex Marsh	10/4/2017	Zeutschel	secT0248	Alta Zhang	11/6/2017	LIB-DPC02	Alex Marsh	1/16/2018	LIB-DPCM01	Alex Marsh	1/23/2018	
13	folder 1	"Brady, Mary"	Mary Brady papers	1848-1869	1848/1869	eng	6 items		"Letters to Mary Brady from her sons, one of whom was named Moses H. Brady, who had migrated to or traveled in Louisiana, Texas, and Mexico. An 1850 letter from Moses Brady, written from Lafayette, La., describes wanderings in Mexico and mentions his bad health until he ""discharged a tape worm about two hundred feet long."" Two letters fall in the Confederate period."		"Tapeworms -- Mexico -- 19th century; Mothers and sons -- Correspondence; Brady, Moses H.,correspondent.; Louisiana -- Description and travel; Mexico -- Description and travel; Texas -- Description and travel"	Louisiana; Mexico; Texas		bradymarypapers-002050915	seca-39f1d86b-2b77-46d3-bbaa-61db65583403	http://library.duke.edu/rubenstein/findingaids/bradymarypapers-002050915/	34122380	RL.30293	secst0299	D03208724Q	16	Brittney Rankins	10/4/2017	Zeutschel	secT0249	Alta Zhang	11/6/2017	LIB-DPC02	Alex Marsh	1/16/2018	LIB-DPCM01	Alex Marsh	1/23/2018	
14	folder 1	"Bragg, Braxton, 1817-1876"	Braxton Bragg papers	1847-1869	1847/1869	eng	43 items		"Predominently letters concerning military affairs regarding the Civil War, discussing fortifications, the port of Pensacola, health in the army (including measles), the Army of Tennessee, a court martial, and Confederate government pottery factories. Correspondents include Eliza Brooks Ellis (his wife), Jefferson Davis, Patrick Cleburne, Samuel Cooper, and James A. Seddon."		"Bragg, Eliza Brooks Ellis,correspondent.; Cleburne, Patrick Ronayne, 1828-1864,correspondent.; Cooper, Samuel, 1798-1876,correspondent.; Davis, Jefferson, 1808-1889,correspondent.; Seddon, James A.,correspondent.; Confederate States of America. Army -- Officers; North Carolina -- History -- 19th century; United States -- History -- Civil War, 1861-1865"	North Carolina; United States		braggbraxtonpapers-000846347	seca-170f6488-68ca-4a17-9cf0-c36069811b9b	http://library.duke.edu/rubenstein/findingaids/braggbraxtonpapers-000846347/	19276317	RL.30292	secst0300	D03208729V	147	Brittney Rankins	10/4/2017	Zeutschel	secT0250	Alta Zhang	11/6/2017	LIB-DPC02	Alex Marsh	1/16/2018	LIB-DPCM01	Alex Marsh	1/23/2018	
15	folder 1	"Bragg, Thomas, 1810-1872"	Thomas Bragg papers	1842-1871	1842/1871	eng	44 items		Political and legal correspondence. Much of the material concerns the controversy over the sale of property belonging to the Portsmouth and Roanoke Railroad Company.		"Railroads -- Confederate States of America; Governors -- North Carolina; Lawyers -- Correspondence; Portsmouth and Roanoke Railroad Company; Confederate States of America -- Officials and employees; Confederate States of America -- Economic conditions; United States -- History -- Civil War, 1861-1865"	Confederate States of America; United States		braggthomaspapers-000846348	seca-e574a80b-0d6d-4a90-a14e-feed75b66e2b	http://library.duke.edu/rubenstein/findingaids/braggthomaspapers-000846348/	19276318	RL.30290	secst0301	D03208730N	138	Brittney Rankins	10/5/2017	Zeutschel	secT0251	Alta Zhang	11/6/2017	LIB-DPC02	Alex Marsh	1/16/2018	LIB-DPCM01	Alex Marsh	1/23/2018	
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
