Project	Box	Physical Order	title	creator	date_expression	date	language	extent	description	provenance	subject	spatial	format	type	ead_id	aleph_id	aspace_id	finding_aid_url	oclc_num	identifier	local_id	display_format	rights	rights_note	barcode	Identifier	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes												
Section A	33	11	George T. M. Davis papers	"Davis, George T. M., (George Turnball Moore), 1810-1888"	1840-1841	1840/1841	eng	3 items	"Letter to George T.M. Davis, a lawyer, concerning Democratic- Whig rivalry in Illinois, and two letters dealing with routine legal matters."		"Davis, Geo. T. M., (George Turnball Moore), 1810-1888| Whig Party (Ill.)| Illinois -- Politics and government -- 19th century"	Illinois		Text	davisgeorgetmpapers-002560933	2560933	seca-8d7f6640-678e-4cff-8974-37ff6478c18c	https://library.duke.edu/rubenstein/findingaids/davisgeorgetmpapers-002560933/	41024950	RL.30680	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209120H	secst0679	12	Rodrigo Araujo	3/6/2019	Zeutschel	secT0679	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	12	John Davis letter	"Davis, John, 1787-1854"	1841	1841/1841	eng	1 item	"Letter from John Davis, governor of Massachusetts, to General Dearborn regarding the British colonial system."		"Davis, John, 1787-1854| Massachusetts -- History -- 19th century"	Massachusetts		Text	davisjohn-002560934	2560934	seca-739f9875-937b-4083-822d-7855fdf0a528	https://library.duke.edu/rubenstein/findingaids/davisjohn-002560934/	41025033	RL.30682	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209122J	secst0680	4	Rodrigo Araujo	3/6/2019	Zeutschel	secT0680	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	13	John Reeves Jones Daniel letters	"Daniel, John Reeves Jones, 1802-1868"	1841-1856	1841/1856	eng	2 items	"Collection contains two letters: the first, dated 1841, concerns the application of Jerome B. Zollicoffer for consideration as a midshipman in the Naval Academy; the second, dated 1856, is addressed to John Cook Rives and concerns the sale of a warrant."		"Daniel, John Reeves Jones, 1802-1868| North Carolina -- Politics and government -- 19th century"	North Carolina		Text	danieljohnreevesjonesletters-003867621	3867621	seca-9d976ebb-1fac-412b-bc11-b6fee0165186	https://library.duke.edu/rubenstein/findingaids/danieljohnreevesjonesletters-003867621/	1049805807	RL.30681	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209105K	secst0681	6	Rodrigo Araujo	3/6/2019	Zeutschel	secT0681	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	14	Charles W. Davis papers	"Davis, Charles W."	1845-1855	1845/1855	eng	8 items	"Family and business correspondence, including a letter from Charles W. Ross at Princeton to his grandfather, describing an altercation between students and town authorities."		"Davis, Charles W.| Princeton University -- History -- 19th century"			Text	davischarleswpapers-002560931	2560931	seca-e9dfc2e9-2768-4ddb-ad91-790328914643	https://library.duke.edu/rubenstein/findingaids/davischarleswpapers-002560931/	41024954	RL.30683	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209116M	secst0682	26	Rodrigo Araujo	3/6/2019	Zeutschel	secT0682	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	15	John Davis papers	"Davis, John, Jr.,"	1846-1865	1846/1865	eng	14 items	"Personal letter of John Davis, Jr. (1770-1865), merchant, in which he discusses in detail a trip from Baltimore, Maryland, to Lexington, Missouri, 1858; family matters; and conditions in Missouri."		"Davis, John, Jr.| Missouri -- Description and travel -- 19th century"	Missouri		Text	davisjohnpapers-002560935	2560935	seca-dbdd3e40-10e8-4c85-8a93-b6665f025190	https://library.duke.edu/rubenstein/findingaids/davisjohnpapers-002560935/	41024956	RL.30684	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209123K	secst0683	58	Joe Wang	3/8/2019	Zeutschel	secT0683	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	16	James Jackson Davis papers	"Davis, James Jackson"	1854-1948 and undated.	1854/1948	eng	32 items	"Collection contains a variety of items including a number of Civil War period letters between J.J. Davis and his wife E.J., whom he addresses as Betty. Neither knew the English language well, but their letters are quite informative about her home life and his service. They were both very religious and appear to have had deep respect and affection for one another. His first letter gives Gainesville, Ala. as the post office and another was written after a retreat near Baldwin, Miss. Ms. Davis' family owned slaves and there is some mention of the hiring and selling of slaves."	"Purchase, 1978"	"Slavery -- Mississippi -- 19th century| Davis, James Jackson| Confederate States of America. Army. Mississippi Infantry Regiment, 43rd.| Mississippi -- History -- Civil War, 1861-1865| United States -- History -- Civil War, 1861-1865"	Mississippi| United States		Text	davisjamesjacksonpapers-002448939	2448939	seca-2e1de47c-f2a1-41f0-8348-a965013fbea7	https://library.duke.edu/rubenstein/findingaids/davisjamesjacksonpapers-002448939/	39100471	RL.30685	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209121I	secst0684	94	Joe Wang	3/8/2019	Zeutschel	secT0684	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	17	George Davis papers	"Davis, George"	"1857, 1874"	1857/1874	eng	2 items	Letter from George Davis discussing the Mecklenburg Declaration and reasons why a monument to the signers of the declaration had never been erected. Also includes a letter from John Newland Maffitt discussing the leadership of Captain James M. Cook as a Confederate naval officer.		"Davis, George"			Text	davisgeorgepapers-002560932	2560932	seca-1e40db2d-12e3-47b9-baa1-b1938755cf46	https://library.duke.edu/rubenstein/findingaids/davisgeorgepapers-002560932/	41024957	RL.30686	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209119P	secst0685	8	Joe Wang	3/8/2019	Zeutschel	secT0685	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	18	Lizzie G. Davis composition book	"Davis, Lizzie G."	1859	1859/1859	eng	1 volume	"Fictional essays Davis wrote while a student at Frederick Female Seminary in Maryland. She wrote on topics such as death, home, Greece, a husking party, Christmas, rain, bachelors, and customs."	Purchase 1987	"School prose, American -- Maryland| American students -- Maryland| Young women -- Maryland| Frederick Female Seminary (Frederick, Md.)"		Essays	Text	davislizzieg-000805466	805466	seca-1f77193f-0163-4f7b-ab38-03a1a1dc62db	https://library.duke.edu/rubenstein/findingaids/davislizzieg-000805466/	17975238	RL.30688	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209125M	secst0686	36	Alex Marsh	5/1/2019	Phase One	secT0686	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	19	Joseph Davis papers	"Davis, Joseph."	1859-1861	1859/1861	eng	45 items	"Personal letters from Davis to his fiancée, Rosaltha Burnell."		"Man-woman relationships -- 19th century| Davis, Joseph"			Text	davisjosephpapers-002560936	2560936	seca-6c56b3fe-0905-470f-891d-b4f364e692e5	https://library.duke.edu/rubenstein/findingaids/davisjosephpapers-002560936/	41024958	RL.30687	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209124L	secst0687	144	Joe Wang	3/8/2019	Zeutschel	secT0687	Spencer Bevis	6/25/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	20	Matthew S. Davis papers	"Davis, Matthew S., 1830-1906"	1859-1905	1859/1905	eng	17 items	"Personal and business papers, including references to student life at Roanoke Male Academy, Hamilton, N.C.; Louisburg Female College; and Trinity College, Randolph County, N.C. (later Duke University)."		"College presidents -- North Carolina| College students -- Conduct of life| Education -- North Carolina| Universities and colleges -- North Carolina| Women -- Education| Duke University -- History| Louisburg College| Roanoke Male Academy (Hamilton, N.C.)| Trinity College (Randolph County, N.C.)"			Text	davismatthewspapers-000849842	849842	seca-463284e7-aba7-4884-ba79-926521ad114b	https://library.duke.edu/rubenstein/findingaids/davismatthewspapers-000849842/	19405817	RL.30689	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]	D03209127O	secst0688	40	Joe Wang	3/8/2019	Zeutschel	secT0688	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	21	Mary P. Davis papers	"Davis, Mary P."	1861-1864	1861/1864	eng	18 items	"Chiefly personal letters of Mary P. Davis of Patrick Springs (Patrick Co.), Va., and her cousin, Benjamin A. Davis, a Confederate soldier, concerning family matters, business affairs, salt works in Virginia, the sale of slaves, army life, troop movements and military engagements, casualties, deserters, substitutes, food supply, and depredations inflicted by the Union Army."		"Desertion, Military -- Confederate States of America| Salt industry and trade -- Virginia| Slavery -- Virginia| Soldiers -- Confederate States of America -- Correspondence| Davis, Benjamin A.| Confederate States of America. Army -- Military life| Confederate States of America. Army -- Recruiting, enlistment, etc| Confederate States of America. Army -- Supplies and stores| United States -- History -- Civil War, 1861-1865 -- Destruction and pillage"	United States		Text	davismaryppapers-000893798	893798	seca-9a07788e-e42d-4004-b3a2-256ccb3dd0f9	https://library.duke.edu/rubenstein/findingaids/davismaryppapers-000893798/	20736976	RL.30691	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209126N	secst0689	54	Joe Wang	3/8/2019	Zeutschel	secT0689	Spencer Bevis	6/24/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	22	E. A. Davis papers	"Davis, E. A."	1861-1865	1861/1865	eng	10 items	"Correspondence commenting on crops, prices, food, horses, camp life, and sickness among Confederate soldiers during the Civil War; and the raising of peaches in Georgia."		Peach industry -- Georgia| Soldiers -- Confederate States of America -- Correspondence| Confederate States of America. Army -- Military life| Confederate States of America. Army -- Sanitary affairs| Confederate States of America. Army -- Supplies and stores			Text	daviseapapers-000893793	893793	seca-e934f9c4-8e19-4ec6-ab9d-53b902154bd7	https://library.duke.edu/rubenstein/findingaids/daviseapapers-000893793/	20736964	RL.30690	[local_id]	image	http://rightsstatements.org/vocab/NoC-US/1.0/	[rights_note]	D03209118O	secst0690	28	Joe Wang	3/19/2019	Zeutschel	secT0690	Spencer Bevis	6/25/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	23	Myra Davis correspondence	"Davis, Myra."	1877-1934 ;	1877/1934	eng	32 items	"Correspondence of Myra Davis, of El Oro and Guanajuato, Mexico, with her family in Colorado, Missouri, and North Carolina. Among the topics are descriptions of the Mexican countryside, 1905; social customs in Mexico, 1906; and an anti-American demonstration, 1911."		Women travelers -- Correspondence| Mexico -- Description and travel| Mexico -- Foreign relations -- United States| Mexico -- Social life and customs| United States -- Foreign relations -- Mexico	Mexico| United States		Text	davismyra-000893802	893802	seca-aa37b61a-9e2d-49b1-8e7f-63496bf4f160	https://library.duke.edu/rubenstein/findingaids/davismyra-000893802/	20736985	RL.30692	[local_id]	image	http://rightsstatements.org/page/InC/1.0/?language=en	[rights_note]	D03209128P	secst0691	172	Joe Wang	3/19/2019	Zeutschel	secT0691	Spencer Bevis	6/25/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	24	W. G. Davis papers	"Davis, W. G."	1880-1908	1880/1908	eng	24 items	Legal papers and items concerning road work in lieu of payment of taxes.		Roads -- North Carolina -- Montgomery County| Taxation -- North Carolina -- Montgomery County| Montgomery County (N.C.) -- History	Montgomery County (N.C.)		Text	daviswgpapers-000893811	893811	seca-2a6e0d46-0a77-421a-a405-01496737816f	https://library.duke.edu/rubenstein/findingaids/daviswgpapers-000893811/	20737013	RL.30693	[local_id]	image	http://rightsstatements.org/vocab/UND/1.0/	[rights_note]	D03209131J	secst0692	50	Joe Wang	3/19/2019	Zeutschel	secT0692	Spencer Bevis	6/25/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
Section A	33	25	Thomas Davis diary and commonplace book	"Davis, Thomas, 1806-1862"	ca. 1820s-1838	1820/1838	eng	1 item	"Chiefly Davis' diary (1835, June 6-Oct. 6) relating to plantation business, medical visits, enslaved persons, Methodist preachers and churches, a slave patrol, and the Alston, Massenburg, Slade, Thorne, and Williams families. Also poetry and memoranda mostly from Davis' wife Mary Ann Slade."	Gift 1990	"Plantations -- North Carolina -- Franklin County| Physicians -- North Carolina -- Franklin County| Slaves -- North Carolina -- Franklin County| Alston family| Massenburg family| Slade family| Thorne family| Williams family| Methodist Episcopal Church, South -- North Carolina -- Franklin County"		Diaries| Commonplace-books	Text	davisthomas-000964185	964185	seca-0e2aeea3-a96f-4fba-ab96-8a7e97da4f81	https://library.duke.edu/rubenstein/findingaids/davisthomas-000964185/	22540500	RL.30676	[local_id]	image	https://creativecommons.org/publicdomain/mark/1.0	[rights_note]	D03209130I	secst0693	56	Alex Marsh	5/1/2019	Phase One	secT0693	Spencer Bevis	6/25/2019	LIB-QCDPC01	Spencer Bevis	7/16/2019	LIB-QCDPC01															
																																																				
