Physical Order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	QC2 Person	QC2 Date	QC2 Station	Finalize Person	Finalize Date	Notes
11	folder 1	"Brown, Bettie R."	Bettie R. Brown papers	1863	1863/1863	eng	2 items		"Collection contains letters from Brown to a friend in the Confederate Army; one letter describes an elaborate wedding in wartime Charleston, S.C."		"Marriage customs and rites -- United States -- History -- 19th century; Charleston (S.C.) -- Social life and customs; Charleston (S.C.) -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865"	Charleston (S.C.); United States		brownbettierpapers-002388083	seca-29e5029b-505a-41a0-ab10-86f34494bf27	http://library.duke.edu/rubenstein/findingaids/brownbettierpapers-002388083/	38247223	RL.30339	secst0329	D03208758X	10	Charles Lu	10/18/2017	Zeutschel	secT0279	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	1/30/2018	LIB-DPC01	Alex Marsh	3/7/2018	
12	folder 1	"Brown, Charles"	Charles Brown papers	1803-1874	1803/1874	eng	22 items		"Collection of letters with subjects including business and personal affairs; ""Traveller's Rest,"" (Buckingham County, Va.); vaccinations; and freemasonry. Also contains a soldier's letter discussing Confederate cavalry operations in 1863, mentioning food, clothing, horses, troop movements, and fighting. Confederates, as well as Union troops, are guilty of depredations: ""our men in many respects equaled the Yankees in the way of plundering and rogueing."""		"Freemasonry -- Virginia -- Albemarle County; Vaccination -- United States; Confederate States of America. Army. Cavalry; Albemarle County (Va.) -- History; Traveller's Rest (Buckingham County, Va.); United States -- History -- Civil War, 1861-1865 -- Cavalry operations; United States -- History -- Civil War, 1861-1865 -- Destruction and pillage; Virginia -- History -- Civil War, 1861-1865"	"Albemarle County (Va.); Traveller's Rest (Buckingham County, Va.); United States; Virginia"		browncharlespapers-000887906	seca-95b2108e-09d5-4e66-81ea-084c47400ae0	http://library.duke.edu/rubenstein/findingaids/browncharlespapers-000887906/	20574821	RL.30323	secst0330	D03208760Q	56	Charles Lu	10/18/2017	Zeutschel	secT0280	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	1/31/2018	LIB-DPC01	Alex Marsh	3/7/2018	
13	folder 1	"Brown, Charles H."	Charles H. Brown papers	1863-1876	1863/1876	eng	24 items		"Collection contains business papers, chiefly bills and receipts, and Brown's army discharge papers."		"Military discharge -- United States; Business records; United States. Army -- History -- Civil War, 1861-1865"			browncharleshpapers-002388084	seca-824ecf70-b21c-4bb6-8472-ccc05a8fb3de	http://library.duke.edu/rubenstein/findingaids/browncharleshpapers-002388084/	38247371	RL.30340	secst0331	D03208761R	54	Charles Lu	10/18/2017	Zeutschel	secT0281	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	1/31/2018	LIB-DPC01	Alex Marsh	3/7/2018	
14	folder 1	"Brown, Charles S."	Charles S. Brown papers	1864-1865	1864/1865	eng	30 items		"Letters describing the Sherman's Army march from Chattanooga, Tenn., by way of Dalton, Atlanta, Milledgeville, and Augusta, to Savannah, Ga., in 1864, and across South Carolina to Raleigh, N.C.; camp life, chaplains; foraging; the burning of Atlanta (which he witnessed); destruction of property by the Union army between Atlanta and Savannah; the hanging of a Confederate bushwhacker; the battle of Bentonville, N.C.; the occupation of Raleigh; and the reaction in Sherman's Army to the new of Lee's surrender and the death of Lincoln. He describes the vandalism of Sherman's forces in S.C., and compares them to lighter damage inflicted by the men in N.C.; he also describes the vandalism of Gen. Joseph Wheeler's cavalry in Raleigh."		"Sherman's March through the Carolinas; Sherman's March to the Sea; Atlanta Campaign, 1864; Soldiers -- Correspondence; Lincoln, Abraham, 1809-1865 -- Assassination.; Sherman, William T. (William Tecumseh), 1820-1891; United States. Army. Michigan Infantry Regiment, 21st (1862-1865); Georgia -- History -- Civil War, 1861-1865; North Carolina -- History -- Civil War, 1861-1865; South Carolina -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Destruction and pillage; United States -- History -- Civil War, 1861-1865 -- Campaigns"	Georgia; North Carolina; South Carolina; United States		browncharlesspapers-000846414	seca-7eb2a3ae-2d37-43fa-bcb2-f23112d852d4	http://library.duke.edu/rubenstein/findingaids/browncharlesspapers-000846414/	19277351	RL.30341	secst0332	D03208762S	114	Charles Lu	10/18/2017	Zeutschel	secT0282	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	1/31/2018	LIB-DPC01	Alex Marsh	3/7/2018	
15	folder 1	"Brown, Charles W."	Charles W. Brown papers	1912	1912/1912	eng	5 items		"Collection contains a letter from Thomas McAdory Owen soliciting Brown's support for the candidacy of Oscar W. Underwood for the presidential nomination of the Democratic Party, and four pieces of campaign literature from the Underwood National Campaign Committee."		"Presidential candidates -- United States -- History -- 20th century; Elections -- United States; Owen, Thomas McAdory,correspondent.; Underwood, Oscar W. (Oscar Wilder), 1862-1929; Underwood National Campaign Committee"			browncharleswpapers-002388085	seca-d5b54978-dd36-437b-93ac-114cec4646e3	http://library.duke.edu/rubenstein/findingaids/browncharleswpapers-002388085/	38247397	RL.30348	secst0333	D03208759Y	20	Charles Lu	10/18/2017	Zeutschel	secT0283	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	1/31/2018	LIB-DPC01	Alex Marsh	3/7/2018	
16	folder 1	"Brown, George W."	George W. Brown papers	1869-1871	1869/1871	eng	4 items		"Collection contains letters to Brown from Arthur I. Boreman, governor of W.V. and U.S. Senator, regarding appointment of Brown's subordinates."		"Legislators -- United States -- Correspondence; Governors -- West Virginia -- Correspondence; Boreman, Arthur Inghram, 1823-1896; Boreman, Arthur Inghram, 1823-1896; West Virginia -- Politics and government"	West Virginia		browngeorgewpapers-002388086	seca-6a34c0e0-b999-4ce1-9dd9-6a01fb90f1fd	http://library.duke.edu/rubenstein/findingaids/browngeorgewpapers-002388086/	38247226	RL.30346	secst0334	D03208764U	14	Charles Lu	10/18/2017	Zeutschel	secT0284	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	1/31/2018	LIB-DPC01	Alex Marsh	3/7/2018	
17	folder 1	"Brown, George William"	George William Brown letter	1874	1874/1874	eng	1 item		"Collection consists of a letter of introduction to John B. Brewer, Rockville, Md."		"Brewer, John B.; Maryland -- History"	Maryland		browngeorgewilliam-002388087	seca-705f8740-480e-4898-b801-c62e1594517d	http://library.duke.edu/rubenstein/findingaids/browngeorgewilliam-002388087/	38247202	RL.30347	secst0335	D03208765V	2	Charles Lu	10/18/2017	Zeutschel	secT0285	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
18	folder 1	"Brown, J. R."	J. R. Brown papers	1864-1865	1864/1865	eng	4 items		"Letters concerning current rumors as to the end of the Civil War, desertions by Confederates to the Union forces, and the limited rations distributed to soldiers in early 1865."		"Soldiers -- Confederate States -- Correspondence; Confederate States of America. Army -- Supplies and stores; United States -- History -- Civil War, 1861-1865 -- Desertions"	United States		brownjrpapers-000887908	seca-de995e07-3987-4837-a45a-58afcd4d66d6	http://library.duke.edu/rubenstein/findingaids/brownjrpapers-000887908/	20574829	RL.30342	secst0336	D03208766W	8	Charles Lu	10/18/2017	Zeutschel	secT0286	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
19	folder 1	"Brown, John A."	John A. Brown papers	1864	1864/1864	eng	39 items		"Business correspondence of John A. Brown, agent, and his superiors in Chester, S.C. The letters and records illustrate the financial practices and situation of the Confederate States of America in 1864."		"Banks and banking, American -- South Carolina -- York; Banks and banking -- Records; Bank of Chester (Chester, S.C.),; South Carolina -- Economic conditions; United States -- History -- Civil War, 1861-1865"	South Carolina; United States		brownjohnapapers-000887909	seca-a0e009ae-5e65-4021-b68f-1df4cc55952a	http://library.duke.edu/rubenstein/findingaids/brownjohnapapers-000887909/	20574835	RL.30343	secst0337	D03208767X	78	Brittney Rankins	10/18/2017	Zeutschel	secT0287	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
20	folder 1	"Brown, John W."	John W. Brown papers	1822-1836	1822/1836	eng	2 items		"Collection contains a letter to William Forster (Mifflin Co., Pa.) discussing farmland management; and a letter to Andrew L. Buchanan (Mifflin Co., Pa.)."		Legislators -- United States -- Correspondence; Farm management -- North Carolina; North Carolina -- Politics and government	North Carolina		brownjohnwpapers-002388088	seca-fd917db9-e7e7-4fa1-b9dd-64fa2de5c89a	http://library.duke.edu/rubenstein/findingaids/brownjohnwpapers-002388088/	38247208	RL.30325	secst0338	D03208768Y	8	Charles Lu	10/18/2017	Zeutschel	secT0288	Christine Adjangba	1/24/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
21	folder 1	"Brown, Joseph E. (Joseph Emerson), 1821-1894"	Joseph E. Brown papers	1859-1889	1859/1889	eng	35 items		"Primarily letters concerning events preceding and just after the South's secession, in preparation for the coming war. Includes raising, training, and arming the state militia and the Columbus Guards. Also, letters in 1865 concerning the defeat of Union forces at Cedar Keys, Fla., and proposing the use of slaves as soldiers. Other letters deal with war-related topics, including Brown's opposition to the conscription act, Confederate finances, accusations of horse-stealing against Wheeler's cavalry and Wheeler's response, and politics."		"Governors -- Georgia; Secession; Wheeler, Joseph, 1836-1906; Confederate States of America. Army -- African American troops; Confederate States of America. Army. Cavalry; Georgia. Militia; Confederate States of America -- Economic conditions; Florida -- History -- Civil War, 1861-1865; Georgia -- History -- Civil War, 1861-1865"	Confederate States of America; Florida; Georgia		brownjosephepapers-000846380	seca-67fd31dd-aab6-4920-906e-311ce873c174	http://library.duke.edu/rubenstein/findingaids/brownjosephepapers-000846380/	19276636	RL.30332	secst0339	D03026497V	153	Alta Zhang	10/20/2017	Zeutschel	secT0289	Christine Adjangba	1/26/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
22	folder 1	"Brown, Mary"	Mary Brown papers	1862-1865	1862/1865	eng	16 items		"Letters to Mary from her brother, William Henry Brown, a Union soldier with the Army of the Potomac, describing life and medical care at the Odd Fellows Hall Hospital, Washington, D.C.; temperance meetings there; the U.S. Army General Hospital in Baltimore; service on the U.S.S. Union at Key West, Fla.; and a storm experienced by the U.S.S. Memphis. Other subjects mentioned include the 61st regiment New York Volunteers, Thanksgiving meals provided by women at the General Hospital, camp life, casualties, and Confederate prisoners. Includes some printed pictures of the two ships U.S.S. Monitor and Memphis."		"Soldiers -- Correspondence; Soldiers -- United States -- Conduct of life; Brown, William Henry,correspondent.; Memphis (Ship); Union (Ship); United States. Army. New York Infantry Regiment, 61st (1861-1865); United States. Army. Army of the Potomac (1861-1865); Baltimore (Md.) -- History -- Civil War, 1861-1865; Florida -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Hospitals; United States -- History -- Civil War, 1861-1865 -- Naval operations; Washington (D.C.) -- History -- Civil War, 1861-1865"	Baltimore (Md.); Florida; United States; Washington (D.C.)		brownmarypapers-000846408	seca-a2d779db-1a9c-4d0f-b3e2-543e32c385e4	http://library.duke.edu/rubenstein/findingaids/brownmarypapers-000846408/	19277198	RL.30336	secst0340	D03208769Z	54	Alta Zhang	10/23/2017	Zeutschel	secT0290	Christine Adjangba	1/26/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
23	folder 1	"Brown, Thomas W., Jr.,"	"Thomas W. Brown, Jr., papers"	1862	1862/1862	eng	7 items		"Collection consists of letters sent by Brown to his family after he was captured in late spring 1862. Letters, subjected to censorship, described his life in Union prisons at Fort Columbus, Governor's Island, N.Y., and at Johnson's Island, Sandusky, Ohio, and expressing hope for a prisoner exchange. Brown described his treatment by Union captors as mild and humane. By Aug. 31, 1862, he wrote his sister that he was traveling south by way of Vicksburg and the Mississippi River; presumably he had been freed by this point."		"Confederate States of America. Army. North Carolina Infantry Regiment, 8th. Company A.; Johnson Island Prison; Fort Columbus (N.Y.) -- Prisoners and prisons; United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons"	Fort Columbus (N.Y.); United States		brownthomaswpapers-000887910	seca-61b1641b-5388-43ee-b9b7-e3348eca902d	http://library.duke.edu/rubenstein/findingaids/brownthomaswpapers-000887910/	20574842	RL.30337	secst0341	D03208770R	16	Charles Lu	10/18/2017	Zeutschel	secT0291	Christine Adjangba	1/26/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
24	folder 1	"Brown, William R."	William R. Brown papers	1857-1884	1857/1884	eng	3 items		"Collection contains letters concerning Brown's shares of stock held in the Southern Pacific Railroad Co., 1857; and a letter of sympathy after he had lost his property, 1884."		Southern Pacific Railroad Company; North Carolina -- History	North Carolina		brownwilliamrpapers-002388091	seca-cbd9ec93-8553-491e-bbfe-2453fc0ba509	http://library.duke.edu/rubenstein/findingaids/brownwilliamrpapers-002388091/	38247740	RL.30331	secst0342	D03208771S	12	Charles Lu	10/18/2017	Zeutschel	secT0292	Christine Adjangba	1/26/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
25	folder 1	"Brown, William Washington"	William Washington Brown papers	1861-1863	1861/1863	eng	17 items		"Collection contains letters from Brown, written from a camp in Va. to his mother, Vashti Brown, concerning army life and personal matters."		"Soldiers -- Confederate States of America -- Correspondence; Confederate States of America. Army -- Military life; United States -- History -- Civil War, 1861-1865; Virginia -- History -- Civil War, 1861-1865"	United States; Virginia		brownwilliamwashingtonpapers-002388092	seca-2a5c82d8-60f9-4a08-a125-8287e494f65f	http://library.duke.edu/rubenstein/findingaids/brownwilliamwashingtonpapers-002388092/	38247219	RL.30333	secst0343	D03208772T	38	Alta Zhang	10/23/2017	Zeutschel	secT0293	Christine Adjangba	1/26/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
26	folder 1	"Browne, G. L. P."	G. L. P. Browne papers	1854-1855	1854/1855	eng	2 items		"Collection consists of personal letters from Browne to Thomas G. Lowe, also a Methodist minister of Halifax Co."		Methodist Church -- Clergy -- Correspondence; Methodist Church -- North Carolina -- History; Clergy -- North Carolina -- Correspondence; Halifax County (N.C.) -- History	Halifax County (N.C.)		browneglppapers-002388095	seca-46164556-8801-4c75-a082-58114fcd2dfb	http://library.duke.edu/rubenstein/findingaids/browneglppapers-002388095/	38247216	RL.30330	secst0344	D03208774V	8	Alta Zhang	10/20/2017	Zeutschel	secT0294	Christine Adjangba	1/26/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
27	folder 1	"Browning, Orville Hickman, 1806-1881"	Orville Hickman Browning papers	1866-1869	1866/1869	eng	2 items		"Collection contains two letters dating from Browning's term as Secretary of the Interior under President Andrew Johnson. The first was written by Joseph H. Bradley, Sr., and is a recommendation letter for Henry A. Klopfer. The second letter was written by Browning to M.D. Phillips, referring Phillips to the Illinois Agricultural Society for information on agricultural resources."		"Agriculture -- Illinois -- 19th century; Bradley, Joseph H., Sr.,correspondent.; Klopfer, Henry A."			browningorvillehickmanpapers-003864086	seca-25b8c9a2-2fdf-45d3-9678-d3cf5456c7a0	http://library.duke.edu/rubenstein/findingaids/browningorvillehickmanpapers-003864086/	1003321988	RL.30345	secst0345	D03208775W	6	Alta Zhang	10/20/2017	Zeutschel	secT0295	Christine Adjangba	1/26/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
28	folder 1	"Brownlow, William Gannaway, 1805-1877"	William Gannaway Brownlow papers	1862-1866	1862/1866	eng	4 items		"Two letters concern arrangements for lectures in the North while Brownlow was a fugitive from Tennessee during the early years of the Civil War. The other two letters were written while Brownlow served as Reconstruction governor of Tennessee, 1865-1866. The first letter from 1865 Apr. 26 states Brownlow's inability to help with rents, debts, prisoners, and other post-war concerns. A second letter from 1866 Jul. 7 is from Brownlow to Chief Justice of the U.S. Supreme Court, Salmon P. Chase, comments on the upcoming vote on an amendment in Congress (likely the 14th amendment) and the fact that the president was working for its defeat."		"Unionists (United States Civil War) -- Tennessee; Governors -- Tennessee -- 19th century; Reconstruction -- Tennessee; African Americans -- Suffrage; Chase, Salmon P. (Salmon Portland), 1808-1873; Tennessee -- History -- Civil War, 1861-1865; United States -- Amendments"	Tennessee; United States		brownlowwilliamgannawaypapers-000846383	seca-b5ff1757-e415-425f-8124-6bd507239b41	http://library.duke.edu/rubenstein/findingaids/brownlowwilliamgannawaypapers-000846383/	19276700	RL.30338	secst0346	D03208776X	12	Alta Zhang	10/20/2017	Zeutschel	secT0296	Christine Adjangba	1/26/2018	LIB-DPC01	Alex Marsh	2/1/2018	LIB-DPC01	Alex Marsh	3/7/2018	
