physical order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	Finalize Person	Finalize Date	Notes
11	folder 1	"Ashby, Turner W."	Turner W. Ashby papers	1869	1869/1869	eng	2 items		Business letters dealing with Ashby's bankruptcy.		Business records -- Virginia; Bankruptcy -- Virginia; Arlington County (Va.) -- History	Arlington County (Va.)		ashbyturnerwpapers-001616512	seca-454c59da-53ce-4562-9b83-0a8ea92a820c	http://library.duke.edu/rubenstein/findingaids/ashbyturnerwpapers-001616512/	31421763	RL.30100	secst0092	D03211495P	6	Alta Zhang	05/25/17	Zeutschel	secT0042	Alex Marsh	6/14/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
12	folder 1	"Ashe, Samuel"	Samuel Ashe papers	1796-1799	1796/1799	eng	3 items		"Deed issued by Samuel Ashe to John Gray Blount, assignee of Capt. John McNeese of the Continental Line of North Carolina, for 3,840 acres of land in Sumner County, Tennessee; and two documents relating to the case of William Jackson McKenzie vs. Samuel Ashe."		"Deeds -- Tennessee; Blount, John Gray, 1752-1833; McKenzie, William Jackson; McNeese, John; Pender County (N.C.) -- History"	Pender County (N.C.)		ashesamuelpapers-001616496	seca-3b9fb6e2-49f6-4bcc-98e9-0b2ea2876362	http://library.duke.edu/rubenstein/findingaids/ashesamuelpapers-001616496/	31421800	RL.30085	secst0093	D03211496Q	6	Alta Zhang	05/25/17	Zeutschel	secT0043	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
13	folder 1	"Ashhurst, Richard"	Richard Ashhurst papers	1827-1857	1827/1857	eng	11 items		"Correspondence of a wholesale merchant, relating to orders, collection of debts, and sales."		Business records -- Pennsylvania; Merchants -- Pennsylvania; Philadelphia (Pa.) -- History	Philadelphia (Pa.)		ashhurstrichardpapers-001616518	seca-b74e93b5-c682-46f9-9425-f76384bc6f03	http://library.duke.edu/rubenstein/findingaids/ashhurstrichardpapers-001616518/	31421732	RL.30089	secst0094	D03211497R	22	Alta Zhang	05/25/17	Zeutschel	secT0044	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
14	folder 1	"Ashlin, Charles"	Charles Ashlin papers	1848-1852	1848/1852	eng	8 items		"Letters describing a trip from Richmond to Columbus in 1848 and discussing Locofocoism in Columbus, cholera epidemics, and family affairs."		Physicians -- Correspondence; Cholera -- Ohio; Democratic Party (Ohio); Equal Rights Party (N.Y.); Columbus (Ohio) -- Politics and government; Ohio -- Description and travel; Virginia -- Description and travel	Columbus (Ohio); Ohio; Virginia		ashlincharlespapers-001616517	seca-2ff11b11-3ed5-4993-9657-2e526bd74ed2	http://library.duke.edu/rubenstein/findingaids/ashlincharlespapers-001616517/	31421743	RL.30091	secst0095	D03211498S	32	Alta Zhang	05/25/17	Zeutschel	secT0045	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
15	folder 1	"Ashman, George"	George Ashman papers	1781-1784	1781/1784	eng	11 items		"The papers deal with the problems of raising troops, securing money for payment, and obtaining adequate military equipment and food supplies. While the state militia was employed in service to the newly-formed United States, county defense was also frequently discussed."		"United States. Continental Army -- Recruiting, enlistment, etc; United States -- History -- Revolution, 1775-1783 -- Equipment and supplies"	United States		ashmangeorgepapers-000842513	seca-4d7759c1-e1c4-4a5e-817b-4ac09e790e1c	http://library.duke.edu/rubenstein/findingaids/ashmangeorgepapers-000842513/	19108884	RL.30083	secst0096	D03211499T	30	Alta Zhang	05/25/17	Zeutschel	secT0046	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
16	folder 1	"Ashmead, John W. (John Wayne),"	John Ashmead papers	1854	1854/1854	eng	3 items		"Three letters from William Meade Addison, United States district attorney for Maryland, to Ashmead claiming jurisdiction for Maryland in the case of the mutiny onboard the ship GERMANY."		"Mutiny -- Maryland; Public prosecutors -- Maryland; Public prosecutors -- Pennsylvania; Addison, William Meade, -1871?; Addison, William Meade, -1871?,correspondent.; Germany (Ship)"			ashmeadjohnwpapers-001616516	seca-db68c034-7e98-4011-a7f2-3e26d5396ab0	http://library.duke.edu/rubenstein/findingaids/ashmeadjohnwpapers-001616516/	31421753	RL.30092	secst0097	D03211500C	8	Alta Zhang	05/26/17	Zeutschel	secT0047	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
17	folder 1	"Atwater, Martha"	Martha Atwater papers	1879-1883	1879/1883	eng	10 items		"Personal correspondence of Martha Atwater of Sparta with nieces and nephews. Letters describe the relocation of two nephews, John and Charles DeVine, from Colorado to New Haven, Conn., following a failed business venture. They apparently struggled to find employment and their wives began teaching to supplement the family's income."		Teachers -- Connecticut -- New Haven -- 19th century; Women -- Georgia -- Correspondence; Women -- Family relationships -- Georgia; Hancock County (Ga.) -- History	Hancock County (Ga.)		atwatermarthapapers-001616514	seca-de5ec5fd-b2b4-4350-aacd-f6a7f6c462f3	http://library.duke.edu/rubenstein/findingaids/atwatermarthapapers-001616514/	31421771	RL.30101	secst0098	D03026462N	46	Alta Zhang	05/26/17	Zeutschel	secT0048	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
18	folder 1	"Augustus, James M."	James M. Augustus papers	1864-1875	1864/1875	eng	2 items		Personal letters from sons James M. and S.J. Augustus to their mother (or mothers). There is no evidence as to whether or not they were brothers. James speaks in 1864 of his month-old daughter and of how much they paid a maid for three weeks of work.		Wages -- Ohio -- 19th century; Women -- Correspondence; Mothers and sons -- United States			augustusjamesmpapers-002048095	seca-aaeaea2c-3768-4953-b5d6-e68a48108809	http://library.duke.edu/rubenstein/findingaids/augustusjamesmpapers-002048095/	34070080	RL.30098	secst0099	D03026463O	8	Alta Zhang	05/26/17	Zeutschel	secT0049	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
19	folder 1	"Aulick, Alberta"	Alberta Aulick papers	1834-1887	1834/1887	eng	24 items		"Letters to Alberta Aulick. Most are from her brother, James Aulick, discussing family matters and his attempts to establish a successful mercantile business, first in Baltimore, then in Chicago and Philadelphia, and finally in Ellicott City, Maryland. Two letters, 1834 and 1859, were written to Alberta by an uncle, John H. Aulick, an officer in the U.S. Navy; one deals with appointments to the United States Naval Academy in 1834."		"Brothers and sisters -- Virginia -- History -- 19th century; Aulick, James; Aulick, John H.; United States Naval Academy -- History -- 19th century; United States. Navy -- Officers -- Correspondence; United States. Navy -- Appointments and retirements"			aulickalbertapapers-002048094	seca-92726c22-3db6-4df1-a4e6-275f7ef4622a	http://library.duke.edu/rubenstein/findingaids/aulickalbertapapers-002048094/	34070079	RL.30090	secst0100	D03026464P	80	Alta Zhang	05/26/17	Zeutschel	secT0050	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
20	folder 1	"Aumack, Ellen"	Ellen Aumack papers	1864-1865	1864/1865	eng	9 items		"Collection consists primarily of Civil War letters to Ellen Aumack from Sergeant Young J. Powell of Company K, 2nd Regiment, Iowa Infantry Veteran Volunteers. Powell's first three letters were written from Tennessee, where he had been separated from his regiment. He wintered there and reports news about Sherman's army. Two letters then written from Goldsboro and Raleigh, N.C., after Powell had rejoined his regiment. He wrote about the ending of the Civil War, with topics including General Sherman's army, the surrender of General Johnston, and Abraham Lincoln's assassination. Following the war, Powell wrote from Washington, D.C., discussing troop movements and reviews. The collection includes one letter from Aumack to Powell, as well as his discharge certificate."		"Sherman's March through the Carolinas; Soldiers -- United States -- Correspondence; Powell, Young J.,correspondent.; United States. Army. Iowa Infantry Regiment, 2nd (1861-1864); Goldsboro (N.C.) -- History -- 19th century; North Carolina -- History -- Civil War, 1861-1865; Raleigh (N.C.) -- History -- 19th century; Tennessee -- History -- Civil War, 1861-1865"	Goldsboro (N.C.); North Carolina; Raleigh (N.C.); Tennessee		aumackellenpapers-000887875	seca-d720b2ea-9adb-4e15-a33b-432bc9b663d1	http://library.duke.edu/rubenstein/findingaids/aumackellenpapers-000887875/	20574593	RL.30099	secst0101	D03026465Q	44	Alta Zhang	05/26/17	Zeutschel	secT0051	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
21	folder 1	"Austin, Joseph B."	Joseph B. Austin letter	1858	1858/1858	eng	1 item		Facsimile business letter extolling farm land in Illinois being offered for sale by the Illinois Central Railroad Company.		"Migration, Internal -- United States; Agriculture -- Illinois; Illinois Central Railroad Company; Illinois -- Emigration and immigration"	Illinois		austinjosephb-002048093	seca-33ddc663-5edd-4488-abd3-1bccf585df9b	http://library.duke.edu/rubenstein/findingaids/austinjosephb-002048093/	34065602	RL.30093	secst0102	D03026466R	4	Alta Zhang	05/26/17	Zeutschel	secT0052	Alex Marsh	6/15/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
22	folder 1	"Austin, Loring, 1790-1827"	Loring Austin papers	1818-1819	1818/1819	eng	21 items		"Official and personal correspondence including weekly reports on enlistments, desertions, supplies, and bounties, while stationed in Providence, Rhode Island. Also, letters concerning appropriations, the appointment of Dr. Thaddeus Hubbard, and relations with fellow officers."		"Hubbard, Thaddeus; United States. Army. Infantry Regiment, 8th.; United States. Army -- Recruiting, enlistment, etc; United States. Army -- Officers; Providence (R.I.) -- History"	Providence (R.I.)		austinloringpapers-000842436	seca-aa4a220f-1c21-48bb-b376-b4e71cf54a06	http://library.duke.edu/rubenstein/findingaids/austinloringpapers-000842436/	19106485	RL.30087	secst0103	D03026467S	66	Alta Zhang	05/30/17	Zeutschel	secT0053	Alex Marsh	6/19/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
23	folder 1	"Avery, Isaac Thomas, Sr.,"	Isaac Thomas Avery letter	1899	1899/1899	eng	1 item		"Letter to Avery from James Marion Baker, then serving as assistant librarian of the United States Senate."		"Baker, James Marion,correspondent.; United States. Congress. Senate -- Records and correspondence"			averyisaacthomas-002048092	seca-42782672-d205-493f-ad76-a92200c4ab6c	http://library.duke.edu/rubenstein/findingaids/averyisaacthomas-002048092/	34065611	RL.30104	secst0104	D03026468T	2	Alta Zhang	05/30/17	Zeutschel	secT0054	Alex Marsh	6/19/2017	LIB-DPCM03	Alex Marsh	8/9/2017	
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
