physical_order 	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	count	capture_person	capture_date	capture_device	capture_target	qc1_person	qc1_date	qc1_station	qc2_person	qc2_date	qc2_station	finalize_person	finalize_date	dark_storage	ingested	notes
12	folder 1	"Alves, Walter, 1768-1819"	Walter Alves plantation inventory	1807 Sept. 30	1807/1807	eng	0.1 linear feet		"Collection comprises an inventory (8 pgs.) with a ""List of negroes, stock of horses, cattle, and hogs; and plantation utensils of every kind, belonging to Walter Alves at the Diamond Island plantation, on Ohio, in the County of Henderson and state of Kentucky."" Eighteen slaves are listed on the first page, by name; men included Grey, Jim, Lewis (""since sold to Mr. John Standley""), and Tom, and women were listed as Hannah, Lucy (""sold to John Rankin""), Flora, and Fanny. Ten children were noted, including Flora's son John, and Hannah's John or Jack, as well as Tim, Ty, Henry, Dilcy, Charity, Marianne, Jenny, and Winifred. There was an additional notation that ""Old Boon & his wife Leah sent out/in Feby 1808 by John Goss."" As for horses, the inventory listed 29 work horses, brood mares, fillies, and colts. Alvez also owned 36 head of cattle and 129 hogs. The last two inventory pages listed utensils, including a weaving loom, flat boat, ploughs, axes, saws, and tools."	"Purchase 2009, 2009-0247"	"Plantations -- Records and correspondence; Plantations -- Kentucky; Slave records -- Kentucky; Slavery -- Kentucky; Plantations -- Kentucky -- Henderson County; Plantations -- Kentucky -- History -- 19th century; Plantation owners -- Kentucky; Alves, Walter, 1768-1819; Henderson County (Ky.) -- History; Henderson County (Ky.) -- Economic conditions"	Henderson County (Ky.)		alveswalter-004261002	seca-8773920e-eea2-4086-b747-18373092fd26	http://library.duke.edu/rubenstein/findingaids/alveswalter-004261002/	644143262	RL.30042	secst0051	D04251563Q	12	Alta Zhang	5/8/2017	Zeutschel	secT0009	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
13	folder 1	"Ambler, John, 1762-1838"	John Ambler papers	1788-1864	1788/1864	eng	26 items		"Personal and business correspondence, including letters from William Tucker of Amherst County, Va., concerning agriculture, and a letter from Chapman Johnson concerning the Norton estate, to which Mrs. Ambler was one of the heirs. Also includes a letter from Robert Ambler to Beverly Ambler discussing army life during the Civil War, a draft of a play, and an essay on the importance of study."		"Agriculture -- Virginia -- History; Inheritance and succession -- Virginia; Ambler, Beverly; Ambler, Robert; Johnson, Chapman; Tucker, William; United States -- History -- Civil War, 1861-1865"	United States		amblerjohnpapers-000842392	seca-809458cf-1d92-4113-a22f-33800e75d621	http://library.duke.edu/rubenstein/findingaids/amblerjohnpapers-000842392/	19105919	RL.30041	secst0052	D03019294S	112	Alta Zhang	"5/8/2017, 5/10/2017"	Zeutschel	secT0009	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
14	folder 1	"Ambler, Philip St. George"	Philip St. George Ambler papers	1856-1879	1856/1879	eng	6 items		"Correspondents include Conway Robinson, Robert C. Standard, and John Ambler."		"Ambler, John; Robinson, Conway, 1805-1884; Standard, Robert Craig, 1814-1857"			amblerphilipstgeorgepapers-000842393	seca-def9e8f9-7625-4111-9ff7-919e71c1b9f4	http://library.duke.edu/rubenstein/findingaids/amblerphilipstgeorgepapers-000842393/	19105939	RL.30051	secst0053	D03019295T	18	Alta Zhang	5/10/2017	Zeutschel	secT0010	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
15	folder 1	"Amelia, 1819-1852"	Amelia Ball Coppuck Welby papers	1838-1922 and undated.	1838/1922	eng	0.1 linear feet		"Collection contains items related to Amelia's work and her close, extended family. Items related to her book, POEMS, include a subscription order form (undated, probably 1846) as well as two legal documents (1844, 1846) regarding copyright issues. There are also 13 newspaper articles (1901-1922 and undated) about Amelia and her work; a postcard showing her birthplace in St. Michael's, Md.; a black-and-white photograph of her burial plot in Louisville, Ky.; and an envelope with genealogical information, all undated. There are 6 letters (1838-1853) in the collection. The earliest is by Amelia (28 Jan. 1938) to her cousin, Thomas Martin. Amelia writes about what her relations think of her, the flattery she receives, the popularity of her poetry and her resulting fame, and her prospects for marriage. The next is by John Welby (26 March 1846) in Liverpool, England, to Amelia's husband, merchant George Welby, in Louisville, Ky. His topics include English politics, especially the elections of Gladstone and Pelham-Clinton; trade, including free trade and expected bad news regarding trade in the East Indies; and the effects of a recent snow on crops. The final letters are by George Welby to his brother, Thomas (5 Jan. 1853, 28 Feb. 1853, 9 July 1853), and to Thomas' wife and Amelia's sister, Mary (24 Nov. 1852), who are residents of St. Michael's, Md. George Welby's topics include the visits of relatives, travel plans for himself and other family members; the ""Lamdin case,"" a legal suit regarding a dispute over land; other business matters; the placement of a monument (possibly the one on Amelia's grave); the prospects for sale of his farm so that he might relocate to St. Michael's; the potential sale of whiskey shipped to Thomas. He recommends that Thomas avoid purchasing machinery for use on his farm and shares his dismay regarding the difficulty of finding drinking company on Maryland's Eastern Shore. However, his main theme is the newborn son he is raising since Amelia's death, including the resulting difficulties of housekeeping, the portrait being painted of the boy, his love for the child, and his inability to be separated from this last link to Amelia or to entertain the suggestion that Mary and Thomas should raise the boy."	"Gift 2007, 2007-0012 1 lin ft"	"Poets, American -- 19th century; Poets, American -- 19th century -- Family relationships; Families -- United States -- 19th century; Fatherhood -- United States -- History -- 19th century; Fathers -- United States; Property -- United States -- Cases; Real property -- United States -- Cases; Gladstone, W. E. (William Ewart), 1809-1898; Martin, Thomas; Newcastle, Henry Pelham Fiennes Pelham Clinton, Duke of, 1785-1851; Welby, George (George Clarence), 1812-; Welby, George (George Clarence), 1812- ,correspondent.; Welby, Mary Martin Coppuck, 1814-1906; Welby, Thomas J., 1814-; Welby family; England -- Commerce -- History -- 19th century; Great Britain -- Politics and government -- 1837-1901; Louisville (Ky.) -- History; St. Michael's Parish (Talbot County, Md.); United States -- Commerce -- History -- 19th century"	"England; Great Britain; Louisville (Ky.); St. Michael's Parish (Talbot County, Md.); United States"	Photograph; Postcard; Black-and-white photograph	ameliapapers-003834604	seca-cf34da42-b753-4dd5-ad06-49b6e99860b1	http://library.duke.edu/rubenstein/findingaids/ameliapapers-003834604/	191734494	RL.30045	secst0054	D03547505T	40	Alta Zhang	5/10/2017	Zeutschel	secT0010	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
16	folder 1	American Bible Society.	American Bible Society records	1836-1849	1836/1849	eng	6 items		"Letters from colporteurs for the American Bible Society concerning financial reports, sales, and difficulties encountered in North Carolina, Virginia, Georgia, and India. Among problems reported were bad weather and resistance due to the influence of Baptists and Episcopalians. One letter (1848 Apr. 13) from Rev. John C. Rankin contains expense account for travels with his wife and children through Georgia, North Carolina, and India. Among other correspondents were John C. Brigham, J.R. Shepherd, Joseph Hyde, Charles F. Deems, S.C. Lindsley, Thomas J. Lemay, William Geddy Hill, and Walter Lowrie."	Purchase 1979	"Missionaries -- India; Missionaries -- Salaries, etc; Baptists -- Southern States -- History; Episcopalians -- Southern States -- History; Brigham, John C.; Deems, Charles F. (Charles Force), 1820-1893,correspondent.; Hill, William Geddy.,correspondent.; Hyde, Joseph; Lemay, Thomas Jefferson, 1802-1863,correspondent.; Lindsley, S. C.,correspondent.; Lowrie, Walter M.; Rankin, John C. (John Chambers), 1816-1900,correspondent.; Shepherd, J. R.,correspondent.; American Bible Society; Georgia -- Religious life and customs; North Carolina -- Religious life and customs; Virginia -- Religious life and customs"	Georgia; North Carolina; Virginia		americanbiblesociety-001616562	seca-901a16aa-1041-43ec-a21b-7292df19d8d0	http://library.duke.edu/rubenstein/findingaids/americanbiblesociety-001616562/	31428115	RL.30044	secst0055	D03572391U	18	Alta Zhang	5/10/2017	Zeutschel	secT0010	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
17		American Trends																		D03019296U																
18	folder 1	American Colonization Society	American Colonization Society records	1851-1854	1851/1854	eng	3 items		"Power of attorney from John S. Chambliss to Captain David Boone of Natchez, Miss., relating to his claim for services rendered the society. Supporting affidavit of J.E. Calhoun of Claiborne County. Telegram dated Sept. 11, 1854, requesting that the Rev. W. McLean, agent of the Colonization Society, trace the receipt by Thomas Scott, Sr. in Greenville, Liberia, of twenty-five hundred dollars stolen from a Mr. Bell, Esqr. by African Americans."	"Purchase, 1979"	"Slavery -- United States; African Americans -- Colonization -- Africa; Power of attorney -- Mississippi; Lawyers -- Mississippi -- Correspondence; Boone, David; Calhoun, J. E.; Chambliss, John S.; McLean, W.; Scott, Thomas; American Colonization Society"			americancolonizationsociety-001826849	seca-4b8bf30b-4cc2-46b9-b7a6-69aa4a23bc49	http://library.duke.edu/rubenstein/findingaids/americancolonizationsociety-001826849/	32878797	RL.30047	secst0056	D03571445T	10	Alta Zhang	5/10/2017	Zeutschel	secT0010	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
19	folder 1	"Ames, James, B., active 1834"	James B. Ames letter	1834	1834/1834	eng	1 item		"Letter (1834 Dec. 22) with a completed printed form to T.D. Bowen of Rhode Island, relating to the export of cotton to the North and to Europe. Includes typescript."	Purchase 1978	Cotton trade -- Alabama -- Mobile			amesjamesb-000805473	seca-0458b725-84a8-47b9-826d-ba35a630a7f3	http://library.duke.edu/rubenstein/findingaids/amesjamesb-000805473/	17975721	RL.30043	secst0057	D03019297V	6	Alta Zhang	5/10/2017	Zeutschel	secT0010	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
20	folder 1	"Ames, James Tyler"	James Tyler Ames papers	1865	1865/1865	eng	2 items		"Letters dated November 2 and 18, 1865 from W.M. Mitchell in Milledgeville and in Dougherty County, Georgia, seeking to interest Ames in investments in cotton plantation land."		"Agriculture -- Georgia -- History -- 19th century; Cotton trade -- Georgia -- History -- 19th century; Reconstruction (U.S. history, 1865-1877) -- Georgia; Mitchell, W. M.; Georgia -- History -- 1865-"	Georgia		amesjamestylerpapers-001597245	seca-25992854-054c-4642-bde9-c490472e2a25	http://library.duke.edu/rubenstein/findingaids/amesjamestylerpapers-001597245/	31311588	RL.30056	secst0058	D03019298W	4	Alta Zhang	5/10/2017	Zeutschel	secT0010	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
21		"Ames, Jessie (Daniel)"																		D03019299X																
22	folder 1	"Vance, Harriet Espy, 1832-1878"	Harriet Espy Vance letters	1866-1879	1866/1879	eng	16 items		"Collection consists of letters written to Elizabeth Beatty Allison by Harriet N. (Espey) Vance, wife of Zebulon Baird Vance, and others of the Vance family. The correspondence deals chiefly with family and personal affairs and has little information about Vance's public life."		"Women -- North Carolina -- History -- 19th century; Governors -- North Carolina; Allison, Elizabeth Beatty,correspondent.; Vance, Zebulon Baird, 1830-1894; North Carolina -- Social life and customs -- 1865-"	North Carolina		vanceharrietespyletters-001586475	seca-964d246b-bf7f-4cd6-8de5-4a2207c730c4	http://library.duke.edu/rubenstein/findingaids/vanceharrietespyletters-001586475/	31215155	RL.30057	secst0059	D03027464Q	84	Alta Zhang	"5/10/2017, 5/16/2017"	Zeutschel	secT0010	Alex Marsh	5/15/2017	LIB-DPCM03	Alex Marsh	5/31/2017	LIB-DPC06	Alex Marsh	5/31/2017			
